"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","hour","userNumber","original.inat.taxonID","id","species","root","user","xbin","ybin","geo_bin","user_obs","user_spp","user_visits","user_locations","obs_id"
-122.9499969482,38.159198761,"bird","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",2008,5,NA,1,4647,332,"Falco peregrinus","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,1
-122.9499969482,38.1545982361,"invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita","Emerita analoga",2008,5,NA,1,47414,333,"Emerita analoga","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,2
-122.7910003662,37.9734992981,"bird","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla californica",2008,7,12,1,1409,524,"Callipepla californica","life",1,4,3,"4 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,3
-122.7910003662,37.9702987671,"bird","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",2008,7,8,1,11901,525,"Hirundo rustica","life",1,4,3,"4 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,4
-122.7939987183,37.9718017578,"bird","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata",2008,7,NA,1,4627,526,"Gavia stellata","life",1,4,3,"4 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,5
-122.7919998169,37.9696006775,"bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus heermanni",2008,7,NA,1,4353,527,"Larus heermanni","life",1,4,3,"4 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,6
-122.7829971313,37.9539985657,"plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus guttatus",2008,7,16,1,48014,528,"Mimulus guttatus","life",1,5,2,"5 2",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,7
-122.7838363647,37.9872627258,"plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis latifolia",2009,1,14,1,49132,1252,"Myosotis latifolia","life",1,5,3,"5 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,8
-122.7772979736,37.9920845032,"invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta",2009,1,14,1,49133,1253,"Vanessa atalanta","life",1,5,3,"5 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,9
-122.7623443604,37.999961853,"fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha","Sarcoscypha coccinea",2009,1,12,1,49134,1254,"Sarcoscypha coccinea","life",1,5,3,"5 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,10
-122.7614364624,37.9964103699,"fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria","Aleuria aurantia",2007,1,12,1,48716,1258,"Aleuria aurantia","life",1,5,3,"5 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,11
-122.9588623047,38.0807380676,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Romulea","Romulea rosea",2009,4,15,1,68896,2205,"Romulea rosea","life",1,2,4,"2 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,12
-122.9675674438,38.0243225098,"plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense",2009,4,14,1,50851,2206,"Cerastium arvense","life",1,2,3,"2 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,13
-122.9683761597,37.9909286499,"plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","Calochortus tolmiei",2009,4,18,1,50840,2209,"Calochortus tolmiei","life",1,2,3,"2 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,14
-122.9487342309,38.0422201413,"plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Hosackia","Hosackia gracilis",2009,4,16,1,50841,2210,"Hosackia gracilis","life",1,2,4,"2 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,15
-122.9528884888,38.0760574341,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Iris","Iris douglasiana",2009,4,15,1,50854,2211,"Iris douglasiana","life",1,2,4,"2 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,16
-122.9722137451,37.9927139282,"mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2009,4,17,1,41728,2212,"Mirounga angustirostris","life",1,2,3,"2 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,17
-122.978553772,38.2236709595,"mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",2007,9,16,1,42206,2648,"Cervus elaphus","life",1,2,6,"2 6",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,18
-122.9130020142,38.1604804993,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","Doris montereyensis",2009,6,9,1,47469,2987,"Doris montereyensis","life",1,3,5,"3 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,19
-122.9150924683,38.1629562378,"invertebrate","Animalia","Mollusca","Gastropoda","Anaspidea","Notarchidae","Phyllaplysia","Phyllaplysia taylori",2009,6,11,1,49864,2989,"Phyllaplysia taylori","life",1,3,5,"3 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,20
-122.9150924683,38.1629562378,"invertebrate","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora fuscescens",2009,6,11,1,48479,2990,"Chrysaora fuscescens","life",1,3,5,"3 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,21
-122.9130020142,38.1604804993,"invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Romaleon","Romaleon antennarium",2009,6,12,1,202315,2991,"Romaleon antennarium","life",1,3,5,"3 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,22
-122.9130020142,38.1604804993,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula","Diaulula sandiegensis",2009,6,9,1,508884,2993,"Diaulula sandiegensis","life",1,3,5,"3 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,23
-122.95652771,38.1182670593,"invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela oregona",2009,8,17,1,52620,3189,"Cicindela oregona","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,24
-122.9511642456,38.1192932129,"plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia","Abronia latifolia",2009,8,16,1,52618,3190,"Abronia latifolia","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,25
-122.9360310428,38.132844704,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia","Piperia elegans",2009,8,11,1,132362,3191,"Piperia elegans","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,26
-122.9579772949,38.1193008423,"mammal","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus",2009,8,16,1,41740,3195,"Zalophus californianus","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,27
-122.9535751343,38.1187362671,"invertebrate","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Microtes","Microtes occidentalis",2009,8,16,1,210448,3197,"Microtes occidentalis","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,28
-122.9527130127,38.1194915771,"plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium","Heliotropium curassavicum",2009,8,16,1,58058,3198,"Heliotropium curassavicum","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,29
-122.9381713867,38.1234474182,"plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium occidentale",2009,8,15,1,52621,3200,"Cirsium occidentale","life",1,2,5,"2 5",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,30
-122.8671875,38.0454368591,"mammal","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus",2009,12,12,1,41976,3865,"Lynx rufus","life",1,3,4,"3 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,31
-122.7606430054,37.9990692139,"fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria amethysteo-occidentalis",2007,1,11,1,54893,4006,"Laccaria amethysteo-occidentalis","life",1,5,3,"5 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,32
-122.977722168,37.9959144592,"mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2010,1,14,1,41728,4492,"Mirounga angustirostris","life",1,2,3,"2 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,33
-122.9617156982,38.0274009705,"mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2010,1,13,1,41728,4493,"Mirounga angustirostris","life",1,2,3,"2 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,34
-122.9721450806,38.0454216003,"mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",2010,1,12,1,42206,4494,"Cervus elaphus","life",1,2,4,"2 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,35
-122.7995147705,38.0413665771,"bird","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta pygmaea",2010,1,NA,1,14816,4533,"Sitta pygmaea","life",1,4,4,"4 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,36
-122.9194564819,38.0598144531,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Amaryllis","Amaryllis belladonna",2010,8,18,1,61827,8013,"Amaryllis belladonna","life",1,3,4,"3 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,37
-122.9138870239,38.0336112976,"fish","Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis californica",2010,8,17,1,51491,8014,"Myliobatis californica","life",1,3,3,"3 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,38
-122.9138565063,38.0336608887,"fish","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis","Triakis semifasciata",2010,8,17,1,52297,8015,"Triakis semifasciata","life",1,3,3,"3 3",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,39
-122.9200668335,38.0624504089,"plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia","Navarretia squarrosa",2010,8,16,1,53157,8016,"Navarretia squarrosa","life",1,3,4,"3 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,40
-122.9189071655,38.0638008118,"plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha","Mentha pulegium",2010,8,15,1,57116,8018,"Mentha pulegium","life",1,3,4,"3 4",0.977653631284916,0.980446927374302,0.986033519553073,0.983240223463687,41
-122.9492034912,38.179977417,"mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",2010,11,NA,7,117767,8907,"Cervus elaphus","life",7,2,6,"2 6",0.991620111731844,0.994413407821229,0.972067039106145,0.972067039106145,42
-122.9376983643,38.1642570496,"bird","Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus","Corvus corax",2010,11,NA,7,8010,8908,"Corvus corax","life",7,2,5,"2 5",0.991620111731844,0.994413407821229,0.972067039106145,0.972067039106145,43
-122.9335784912,38.124835968,"bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo","Buteo jamaicensis",2010,11,NA,7,5212,8909,"Buteo jamaicensis","life",7,2,5,"2 5",0.991620111731844,0.994413407821229,0.972067039106145,0.972067039106145,44
-122.91847229,38.0704612732,"fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita muscaria",2010,11,NA,7,48715,8910,"Amanita muscaria","life",7,3,4,"3 4",0.991620111731844,0.994413407821229,0.972067039106145,0.972067039106145,45
-122.8658591,38.0705092,"bird","Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura",2008,7,NA,11,4756,10188,"Cathartes aura","life",11,3,4,"3 4",0.536312849162011,0.533519553072626,0.111731843575419,0.502793296089385,46
