"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","hour","userNumber","original.inat.taxonID","id","species","root","user","xbin","ybin","geo_bin","user_obs","user_spp","user_visits","user_locations","obs_id"
-122.516998291,37.520401001,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceratidae","Triopha","Triopha maculata",2008,7,6,1,47110,492,"Triopha maculata","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,1
-122.516998291,37.520401001,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris lutea",2008,7,6,1,47472,493,"Acanthodoris lutea","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,2
-122.516998291,37.520401001,"invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer productus",2008,7,6,1,47826,494,"Cancer productus","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,3
-122.516998291,37.5208015442,"invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,7,1,47830,495,"Pycnogonum stearnsi","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,4
-122.5159988403,37.5205001831,"invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,8,1,47830,496,"Pycnogonum stearnsi","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,5
-122.5159301758,37.520072937,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Tenellia","Tenellia albocrusta",2007,5,9,1,544329,1139,"Tenellia albocrusta","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,6
-122.5163269043,37.5203704834,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Anteaeolidiella","Anteaeolidiella oliviae",2007,3,14,1,464287,1178,"Anteaeolidiella oliviae","life",1,3,2,"3 2",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,7
-122.5773696899,37.905040741,"invertebrate","Animalia","Arthropoda","Insecta","Phasmida","Timematidae","Timema","Timema poppensis",2009,2,17,1,84929,1607,"Timema poppensis","life",1,3,4,"3 4",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,8
-122.5962142944,37.9070320129,"plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,16,1,48990,1608,"Scoliopus bigelovii","life",1,3,4,"3 4",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,9
-122.5771408081,37.9103317261,"plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis densiflora",2009,2,14,1,49645,1609,"Pedicularis densiflora","life",1,3,4,"3 4",0.990373044524669,0.991576413959085,0.990373044524669,0.984356197352587,10
