"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","userNumber","original.inat.taxonID","species","root","user","xbin","ybin","geo_bin","user_obs","user_spp","user_visits","user_locations"
-122.9499969482,38.159198761,"bird","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",2008,5,1,4647,"Falco peregrinus","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9499969482,38.1545982361,"invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita","Emerita analoga",2008,5,1,47414,"Emerita analoga","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7910003662,37.9734992981,"bird","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla californica",2008,7,1,1409,"Callipepla californica","life",1,4,3,"4 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7910003662,37.9702987671,"bird","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",2008,7,1,11901,"Hirundo rustica","life",1,4,3,"4 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7939987183,37.9718017578,"bird","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata",2008,7,1,4627,"Gavia stellata","life",1,4,3,"4 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7919998169,37.9696006775,"bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus heermanni",2008,7,1,4353,"Larus heermanni","life",1,4,3,"4 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7829971313,37.9539985657,"plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus guttatus",2008,7,1,48014,"Mimulus guttatus","life",1,5,2,"5 2",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7838363647,37.9872627258,"plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis latifolia",2009,1,1,49132,"Myosotis latifolia","life",1,5,3,"5 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7772979736,37.9920845032,"invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta",2009,1,1,49133,"Vanessa atalanta","life",1,5,3,"5 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7623443604,37.999961853,"fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha","Sarcoscypha coccinea",2009,1,1,49134,"Sarcoscypha coccinea","life",1,5,3,"5 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7614364624,37.9964103699,"fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria","Aleuria aurantia",2007,1,1,48716,"Aleuria aurantia","life",1,5,3,"5 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9588623047,38.0807380676,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Romulea","Romulea rosea",2009,4,1,68896,"Romulea rosea","life",1,2,4,"2 4",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9675674438,38.0243225098,"plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense",2009,4,1,50851,"Cerastium arvense","life",1,2,3,"2 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9683761597,37.9909286499,"plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","Calochortus tolmiei",2009,4,1,50840,"Calochortus tolmiei","life",1,2,3,"2 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9487342309,38.0422201413,"plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Hosackia","Hosackia gracilis",2009,4,1,50841,"Hosackia gracilis","life",1,2,4,"2 4",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9528884888,38.0760574341,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Iris","Iris douglasiana",2009,4,1,50854,"Iris douglasiana","life",1,2,4,"2 4",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9722137451,37.9927139282,"mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2009,4,1,41728,"Mirounga angustirostris","life",1,2,3,"2 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.978553772,38.2236709595,"mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",2007,9,1,42206,"Cervus elaphus","life",1,2,6,"2 6",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9130020142,38.1604804993,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","Doris montereyensis",2009,6,1,47469,"Doris montereyensis","life",1,3,5,"3 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9150924683,38.1629562378,"invertebrate","Animalia","Mollusca","Gastropoda","Anaspidea","Notarchidae","Phyllaplysia","Phyllaplysia taylori",2009,6,1,49864,"Phyllaplysia taylori","life",1,3,5,"3 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9150924683,38.1629562378,"invertebrate","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora fuscescens",2009,6,1,48479,"Chrysaora fuscescens","life",1,3,5,"3 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9130020142,38.1604804993,"invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Romaleon","Romaleon antennarium",2009,6,1,202315,"Romaleon antennarium","life",1,3,5,"3 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9130020142,38.1604804993,"invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula","Diaulula sandiegensis",2009,6,1,508884,"Diaulula sandiegensis","life",1,3,5,"3 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.95652771,38.1182670593,"invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela","Cicindela oregona",2009,8,1,52620,"Cicindela oregona","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9511642456,38.1192932129,"plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia","Abronia latifolia",2009,8,1,52618,"Abronia latifolia","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9360310428,38.132844704,"plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia","Piperia elegans",2009,8,1,132362,"Piperia elegans","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9579772949,38.1193008423,"mammal","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus",2009,8,1,41740,"Zalophus californianus","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9535751343,38.1187362671,"invertebrate","Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Microtes","Microtes occidentalis",2009,8,1,210448,"Microtes occidentalis","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9527130127,38.1194915771,"plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium","Heliotropium curassavicum",2009,8,1,58058,"Heliotropium curassavicum","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9381713867,38.1234474182,"plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","Cirsium occidentale",2009,8,1,52621,"Cirsium occidentale","life",1,2,5,"2 5",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.8671875,38.0454368591,"mammal","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus",2009,12,1,41976,"Lynx rufus","life",1,3,4,"3 4",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.7606430054,37.9990692139,"fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria amethysteo-occidentalis",2007,1,1,54893,"Laccaria amethysteo-occidentalis","life",1,5,3,"5 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.977722168,37.9959144592,"mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2010,1,1,41728,"Mirounga angustirostris","life",1,2,3,"2 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
-122.9617156982,38.0274009705,"mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2010,1,1,41728,"Mirounga angustirostris","life",1,2,3,"2 3",0.979710144927536,0.979710144927536,0.985507246376812,0.985507246376812
