"id","n_spp"
"01001",0
"01003",22
"01005",4
"01007",8
"01009",9
"01011",0
"01013",0
"01015",0
"01017",0
"01019",7
"01021",2
"01023",0
"01025",0
"01027",1
"01029",1
"01031",0
"01033",5
"01035",0
"01037",0
"01039",3
"01041",0
"01043",0
"01045",1
"01047",0
"01049",7
"01051",4
"01053",3
"01055",1
"01057",1
"01059",1
"01061",0
"01063",0
"01065",4
"01067",0
"01069",7
"01071",7
"01073",8
"01075",0
"01077",3
"01079",2
"01081",3
"01083",6
"01085",1
"01087",3
"01089",7
"01091",1
"01093",0
"01095",3
"01097",7
"01099",0
"01101",1
"01103",4
"01105",2
"01107",0
"01109",0
"01111",0
"01113",1
"01115",0
"01117",9
"01119",1
"01121",2
"01123",4
"01125",9
"01127",0
"01129",0
"01131",0
"01133",3
"02013",0
"02016",0
"02020",0
"02050",0
"02060",0
"02068",0
"02070",0
"02090",0
"02100",0
"02105",0
"02110",0
"02122",0
"02130",0
"02150",0
"02158",0
"02164",0
"02170",0
"02180",0
"02185",0
"02188",0
"02195",0
"02198",0
"02220",0
"02230",0
"02240",0
"02261",0
"02275",0
"02282",0
"02290",0
"04001",15
"04003",51
"04005",27
"04007",19
"04009",20
"04011",0
"04012",26
"04013",46
"04015",18
"04017",13
"04019",57
"04021",36
"04023",35
"04025",33
"04027",25
"05001",15
"05003",0
"05005",0
"05007",14
"05009",1
"05011",0
"05013",1
"05015",5
"05017",0
"05019",3
"05021",1
"05023",7
"05025",0
"05027",0
"05029",8
"05031",7
"05033",2
"05035",4
"05037",0
"05039",0
"05041",3
"05043",4
"05045",21
"05047",9
"05049",0
"05051",11
"05053",0
"05055",3
"05057",3
"05059",0
"05061",2
"05063",3
"05065",1
"05067",0
"05069",2
"05071",13
"05073",1
"05075",1
"05077",1
"05079",1
"05081",3
"05083",4
"05085",11
"05087",7
"05089",3
"05091",1
"05093",10
"05095",0
"05097",8
"05099",0
"05101",10
"05103",3
"05105",8
"05107",5
"05109",11
"05111",5
"05113",15
"05115",1
"05117",2
"05119",29
"05121",0
"05123",0
"05125",10
"05127",2
"05129",2
"05131",7
"05133",4
"05135",0
"05137",6
"05139",4
"05141",7
"05143",21
"05145",11
"05147",1
"05149",1
"06001",20
"06003",4
"06005",1
"06007",8
"06009",5
"06011",5
"06013",18
"06015",7
"06017",13
"06019",12
"06021",4
"06023",12
"06025",33
"06027",23
"06029",32
"06031",1
"06033",5
"06035",5
"06037",36
"06039",4
"06041",16
"06043",8
"06045",16
"06047",6
"06049",3
"06051",12
"06053",19
"06055",10
"06057",11
"06059",21
"06061",12
"06063",7
"06065",53
"06067",8
"06069",22
"06071",46
"06073",51
"06075",8
"06077",9
"06079",18
"06081",15
"06083",11
"06085",21
"06087",16
"06089",12
"06091",7
"06093",12
"06095",9
"06097",18
"06099",7
"06101",6
"06103",5
"06105",12
"06107",15
"06109",7
"06111",19
"06113",7
"06115",4
"08001",3
"08003",1
"08005",3
"08007",2
"08009",2
"08011",4
"08013",4
"08014",0
"08015",0
"08017",1
"08019",0
"08021",0
"08023",1
"08025",0
"08027",0
"08029",1
"08031",1
"08033",2
"08035",6
"08037",0
"08039",1
"08041",8
"08043",3
"08045",2
"08047",0
"08049",1
"08051",0
"08053",0
"08055",1
"08057",0
"08059",2
"08061",1
"08063",0
"08065",0
"08067",0
"08069",4
"08071",5
"08073",3
"08075",4
"08077",9
"08079",0
"08081",0
"08083",9
"08085",6
"08087",3
"08089",9
"08091",2
"08093",1
"08095",1
"08097",1
"08099",0
"08101",4
"08103",0
"08105",0
"08107",1
"08109",0
"08111",0
"08113",2
"08115",0
"08117",0
"08119",1
"08121",0
"08123",7
"08125",4
"09001",11
"09003",6
"09005",5
"09007",10
"09009",8
"09011",5
"09013",10
"09015",7
"10001",10
"10003",6
"10005",11
"11001",14
"12001",27
"12003",5
"12005",8
"12007",2
"12009",10
"12011",21
"12013",1
"12015",11
"12017",7
"12019",5
"12021",23
"12023",6
"12027",1
"12029",2
"12031",13
"12033",4
"12035",13
"12037",7
"12039",3
"12041",3
"12043",2
"12045",4
"12047",0
"12049",0
"12051",4
"12053",4
"12055",7
"12057",15
"12059",1
"12061",4
"12063",3
"12065",5
"12067",2
"12069",21
"12071",15
"12073",16
"12075",8
"12077",16
"12079",2
"12081",9
"12083",12
"12085",11
"12086",34
"12087",20
"12089",3
"12091",19
"12093",9
"12095",31
"12097",15
"12099",32
"12101",5
"12103",6
"12105",14
"12107",3
"12109",16
"12111",8
"12113",17
"12115",12
"12117",10
"12119",4
"12121",3
"12123",1
"12125",0
"12127",18
"12129",19
"12131",7
"12133",5
"13001",1
"13003",0
"13005",0
"13007",1
"13009",0
"13011",1
"13013",2
"13015",3
"13017",0
"13019",1
"13021",2
"13023",0
"13025",0
"13027",1
"13029",2
"13031",6
"13033",2
"13035",0
"13037",1
"13039",3
"13043",0
"13045",1
"13047",0
"13049",12
"13051",8
"13053",2
"13055",1
"13057",2
"13059",14
"13061",0
"13063",0
"13065",0
"13067",6
"13069",1
"13071",1
"13073",3
"13075",4
"13077",16
"13079",0
"13081",0
"13083",0
"13085",2
"13087",5
"13089",8
"13091",0
"13093",0
"13095",3
"13097",4
"13099",2
"13101",1
"13103",1
"13105",0
"13107",0
"13109",0
"13111",2
"13113",8
"13115",1
"13117",2
"13119",0
"13121",8
"13123",0
"13125",0
"13127",6
"13129",0
"13131",1
"13133",0
"13135",9
"13137",2
"13139",10
"13141",0
"13143",0
"13145",9
"13147",1
"13149",0
"13151",0
"13153",3
"13155",1
"13157",0
"13159",0
"13161",0
"13163",0
"13165",1
"13167",0
"13169",0
"13171",0
"13173",1
"13175",0
"13177",1
"13179",2
"13181",0
"13183",2
"13185",6
"13187",2
"13189",0
"13191",2
"13193",0
"13195",3
"13197",3
"13199",1
"13201",0
"13205",1
"13207",1
"13209",1
"13211",0
"13213",0
"13215",6
"13217",2
"13219",4
"13221",1
"13223",0
"13225",0
"13227",0
"13229",0
"13231",0
"13233",5
"13235",1
"13237",1
"13239",0
"13241",4
"13243",0
"13245",0
"13247",0
"13249",0
"13251",1
"13253",4
"13255",1
"13257",0
"13259",2
"13261",1
"13263",1
"13265",0
"13267",1
"13269",0
"13271",1
"13273",5
"13275",0
"13277",5
"13279",0
"13281",0
"13283",0
"13285",2
"13287",0
"13289",0
"13291",1
"13293",1
"13295",3
"13297",4
"13299",2
"13301",1
"13303",2
"13305",0
"13307",0
"13309",0
"13311",4
"13313",1
"13315",0
"13317",0
"13319",2
"13321",5
"15001",0
"15003",0
"15007",0
"15009",0
"16001",7
"16003",0
"16005",6
"16007",0
"16009",0
"16011",2
"16013",1
"16015",4
"16017",0
"16019",1
"16021",1
"16023",4
"16025",1
"16027",3
"16029",0
"16031",4
"16033",0
"16035",3
"16037",1
"16039",1
"16041",0
"16043",0
"16045",0
"16047",0
"16049",3
"16051",4
"16053",1
"16055",1
"16057",3
"16059",0
"16061",0
"16063",0
"16065",1
"16067",0
"16069",1
"16071",1
"16073",8
"16075",0
"16077",4
"16079",0
"16081",0
"16083",2
"16085",2
"16087",0
"17001",0
"17003",7
"17005",0
"17007",0
"17009",0
"17011",1
"17013",2
"17015",1
"17017",0
"17019",4
"17021",0
"17023",0
"17025",1
"17027",1
"17029",0
"17031",10
"17033",4
"17035",0
"17037",2
"17039",0
"17041",0
"17043",6
"17045",0
"17047",0
"17049",0
"17051",0
"17053",0
"17055",2
"17057",4
"17059",1
"17061",0
"17063",3
"17065",0
"17067",2
"17069",1
"17071",0
"17073",2
"17075",0
"17077",16
"17079",1
"17081",0
"17083",0
"17085",1
"17087",25
"17089",4
"17091",0
"17093",0
"17095",0
"17097",11
"17099",3
"17101",0
"17103",2
"17105",0
"17107",0
"17109",0
"17111",2
"17113",1
"17115",0
"17117",0
"17119",0
"17121",2
"17123",0
"17125",1
"17127",14
"17129",4
"17131",0
"17133",9
"17135",0
"17137",1
"17139",1
"17141",2
"17143",0
"17145",1
"17147",1
"17149",0
"17151",4
"17153",11
"17155",3
"17157",2
"17159",0
"17161",2
"17163",1
"17165",5
"17167",5
"17169",0
"17171",2
"17173",2
"17175",0
"17177",0
"17179",1
"17181",21
"17183",1
"17185",0
"17187",0
"17189",0
"17191",0
"17193",1
"17195",0
"17197",9
"17199",9
"17201",1
"17203",1
"18001",0
"18003",0
"18005",1
"18007",0
"18009",0
"18011",0
"18013",1
"18015",0
"18017",0
"18019",3
"18021",1
"18023",0
"18025",1
"18027",0
"18029",0
"18031",0
"18033",0
"18035",0
"18037",0
"18039",4
"18041",0
"18043",0
"18045",0
"18047",0
"18049",0
"18051",2
"18053",0
"18055",0
"18057",1
"18059",1
"18061",1
"18063",0
"18065",0
"18067",0
"18069",0
"18071",0
"18073",0
"18075",1
"18077",0
"18079",0
"18081",1
"18083",0
"18085",0
"18087",1
"18089",1
"18091",0
"18093",1
"18095",0
"18097",4
"18099",0
"18101",1
"18103",0
"18105",3
"18107",6
"18109",0
"18111",0
"18113",0
"18115",0
"18117",4
"18119",0
"18121",2
"18123",1
"18125",0
"18127",5
"18129",0
"18131",1
"18133",3
"18135",0
"18137",0
"18139",0
"18141",1
"18143",0
"18145",0
"18147",1
"18149",0
"18151",2
"18153",2
