"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","userNumber","original.inat.taxonID"
-122.516998291,37.520401001,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceratidae","Triopha","Triopha maculata",2008,7,1,47110
-122.516998291,37.520401001,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris lutea",2008,7,1,47472
-122.516998291,37.520401001,"Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer productus",2008,7,1,47826
-122.516998291,37.5208015442,"Invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,1,47830
-122.5159988403,37.5205001831,"Invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,1,47830
-122.5159301758,37.520072937,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona","Cuthona albocrusta",2007,5,1,48980
-122.5163269043,37.5203704834,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Anteaeolidiella","Anteaeolidiella oliviae",2007,3,1,464287
-122.5773696899,37.905040741,"Invertebrate","Animalia","Arthropoda","Insecta","Phasmida","Timematidae","Timema","Timema poppensis",2009,2,1,84929
-122.5962142944,37.9070320129,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,1,48990
-122.5771408081,37.9103317261,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis densiflora",2009,2,1,49645
-122.5745697021,37.9060592651,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Melanthiaceae","Toxicoscordion","Toxicoscordion fremontii",2009,2,1,49649
-122.5968170166,37.9070320129,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,1,48990
-122.5891418457,37.9092483521,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus","Ceanothus cuneatus",2009,2,1,49673
-122.5877456665,37.9103813171,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis densiflora",2009,2,1,49645
-122.5888366699,37.9036941528,"Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","Hippodamia","Hippodamia convergens",2009,2,1,48987
-122.5888977051,37.9036445618,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,1,48990
-122.5893325806,37.9038619995,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Melanthiaceae","Trillium","Trillium ovatum",2009,2,1,49463
-122.5921783447,37.9042396545,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","Cardamine californica",2009,2,1,49651
-122.5954437256,37.9062309265,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,1,48990
-122.516242981,37.5203895569,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Rostangidae","Rostanga","Rostanga pulchra",2008,2,1,47473
-122.5163269043,37.5203704834,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Cuthona","Cuthona abronia",2007,3,1,50512
-122.5168533325,37.5208053589,"Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","Lophopanopeus","Lophopanopeus bellus",2009,3,1,50818
-122.5168838501,37.5207443237,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","Doris montereyensis",2009,3,1,47469
-122.5168533325,37.5206184387,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Dotidae","Doto","Doto amyra",2009,3,1,47655
-122.5161819458,37.5200767517,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula","Diaulula sandiegensis",2009,3,1,508884
-122.5161895752,37.520198822,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Rostangidae","Rostanga","Rostanga pulchra",2009,3,1,47473
-122.5164031982,37.5204200745,"Invertebrate","Animalia","Echinodermata","Holothuroidea","Dendrochirotida","Psolidae","Lissothuria","Lissothuria nutriens",2008,2,1,49484
-122.518264,37.522765,"Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Tonicellidae","Tonicella","Tonicella lokii",2008,2,1,50886
-122.5146865845,37.5174102783,"Invertebrate","Animalia","Mollusca","Polyplacophora","Chitonida","Tonicellidae","Tonicella","Tonicella lineata",2008,2,1,47425
-122.7914886475,38.0412902832,"Mammal","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus",2009,8,1,41976
-122.2814407349,37.4617233276,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus douglasii",2010,3,1,54486
-122.2820968628,37.46301651,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Onagraceae","Tetrapteron","Tetrapteron graciliflorum",2010,3,1,79338
-122.2822341919,37.462928772,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus douglasii",2010,3,1,54486
-122.2863388062,37.4641036987,"Fungi","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita","Amanita velosa",2010,3,1,51314
-122.2825469971,37.4643363953,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Corallorhiza","Corallorhiza striata",2010,3,1,50708
-122.6083526611,37.9049263,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Calypso","Calypso bulbosa",2010,3,1,47215
-122.6129226685,37.8961601257,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Prosartes","Prosartes smithii",2010,3,1,57506
-122.6152496338,37.8950004578,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Rubus","Rubus spectabilis",2010,3,1,47543
-122.6203231812,37.8925514221,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Adoxaceae","Sambucus","Sambucus racemosa",2010,3,1,57824
-122.6256103516,37.9030380249,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Corallorhiza","Corallorhiza maculata",2010,3,1,49475
-122.4862136841,37.5656166077,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Lepechinia","Lepechinia calycina",2010,5,1,57114
-122.4497070313,37.6122741699,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Anacardiaceae","Toxicodendron","Toxicodendron diversilobum",2010,12,7,51080
-122.4583740234,37.6056785583,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Acaena pinnatifida",2010,12,7,61224
-122.456703186,37.6139602661,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Eriophyllum","Eriophyllum staechadifolium",2010,12,7,60963
-122.4507369995,37.6119346619,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Holodiscus","Holodiscus discolor",2010,12,7,53414
-122.4498977661,37.6124038696,"Plant","Plantae","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","Equisetum hyemale",2010,12,7,53910
-122.4563369751,37.6085624695,"Plant","Plantae","Pteridophyta","Filicopsida","Polypodiales","Polypodiaceae","Polypodium","Polypodium scouleri",2010,12,7,64288
-122.4524765015,37.6168899536,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus","Ceanothus thyrsiflorus",2010,12,7,56617
-122.4527511597,37.6173591614,"Mammal","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Sylvilagus","Sylvilagus bachmani",2010,12,7,43112
-122.4509735107,37.611656189,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Rhamnus","Rhamnus crocea",2010,12,7,57243
-122.4505691528,37.6133613586,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes menziesii",2010,12,7,52687
-122.4587020874,37.6075363159,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Vaccinium","Vaccinium ovatum",2010,12,7,48349
