"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","hour","userNumber","original.inat.taxonID","id"
-122.516998291,37.520401001,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceratidae","Triopha","Triopha maculata",2008,7,13,1,47110,492
-122.516998291,37.520401001,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris","Acanthodoris lutea",2008,7,13,1,47472,493
-122.516998291,37.520401001,"Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Cancer","Cancer productus",2008,7,13,1,47826,494
-122.516998291,37.5208015442,"Invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,14,1,47830,495
-122.5159988403,37.5205001831,"Invertebrate","Animalia","Arthropoda","Pycnogonida","","Pycnogonidae","Pycnogonum","Pycnogonum stearnsi",2008,7,15,1,47830,496
-122.5159301758,37.520072937,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Fionidae","Tenellia","Tenellia albocrusta",2007,5,16,1,544329,1139
-122.5163269043,37.5203704834,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Aeolidiidae","Anteaeolidiella","Anteaeolidiella oliviae",2007,3,21,1,464287,1178
-122.5773696899,37.905040741,"Invertebrate","Animalia","Arthropoda","Insecta","Phasmida","Timematidae","Timema","Timema poppensis",2009,2,0,1,84929,1607
-122.5962142944,37.9070320129,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,23,1,48990,1608
-122.5771408081,37.9103317261,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Pedicularis","Pedicularis densiflora",2009,2,21,1,49645,1609
-122.5745697021,37.9060592651,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Melanthiaceae","Toxicoscordion","Toxicoscordion fremontii",2009,2,1,1,49649,1610
-122.5968170166,37.9070320129,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Scoliopus","Scoliopus bigelovii",2009,2,23,1,48990,1619
