"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","species.inat.ID","species.common","species.science","phylum.inat.ID","phylum.common","phylum.science","class.inat.ID","class.common","class.science","order.inat.ID","order.common","order.science","family.inat.ID","family.common","family.science","genus.inat.ID","genus.common","genus.science","kingdom.inat.ID","kingdom.common","kingdom.science"
"Abies concolor","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Pinaceae","Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","180641","180641","White fir","Abies concolor","319737","Conifers","Pinophyta","136329","Conifers","Pinopsida","47375","Conifers","Pinales","47562","Pine family","Pinaceae","54262","Firs","Abies",47126,"Plants","Plantae"
"Abietinaria","Invertebrate","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","465155","465155","Fern hydroid","Abietinaria rigida","47534","Cnidarians","Cnidaria","48921","Hydrozoans","Hydrozoa","48925","Hydrozoans","Leptothecata","48926","Hydrozoans","Sertulariidae","8709","Coarse Sea Fir Hydroids","Abietinaria",1,"Animals","Animalia"
"Abronia latifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",35,30,0,1,5,3,6,2,1,11,2,3,0,1,0,0,0,0,0,1,11,8,5,7,3,"Present","4776","4776","Yellow Sand Verbena","Abronia latifolia","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47366","Dicots","Caryophyllales","50256","Four O'Clocks","Nyctaginaceae","50255","Sand verbenas","Abronia",47126,"Plants","Plantae"
"Abronia umbellata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",3,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"Probably Present","6311","6311","Pink Sand Verbena","Abronia umbellata","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47366","Dicots","Caryophyllales","50256","Four O'Clocks","Nyctaginaceae","50255","Sand verbenas","Abronia",47126,"Plants","Plantae"
"Acacia baileyana","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","11710","11710","Cootamunda wattle","Acacia baileyana","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia dealbata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Present","11711","11711","Silver Wattle","Acacia dealbata","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia longifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",7,6,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Present","18621","18621","Sydney golden wattle","Acacia longifolia","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia mearnsii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","801655","801655","Black wattle","Acacia mearnsii","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia melanoxylon","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",3,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,"Present","5363","5363","Tasmanian Blackwood","Acacia melanoxylon","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
"Acacia redolens","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","770378","770378","Vanilla-scented wattle","Acacia redolens","47125","Flowering plants","Magnoliophyta","47124","Dicots","Magnoliopsida","47123","Legumes and allies","Fabales","47122","Legumes","Fabaceae","47452","Thorntrees","Acacia",47126,"Plants","Plantae"
