"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","original.inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","speciesTidy","matched.inat.ID","taxizeName","scrapediNatName"
"Abies concolor","Plant","Plantae","Pinophyta","Pinopsida","Pinales","Pinaceae","Abies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"balsam fir, Colorado fir, concolor fir, silver fir, white balsam, white fir","Unconfirmed","Abies concolor","68087",NA,NA
"Abietinaria","Invertebrate","Animalia","Cnidaria","Hydrozoa","Leptothecata","Sertulariidae","Abietinaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Abietinaria","55322","Abietinaria","Abietinaria"
"Abronia latifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",35,30,52618,0,1,5,3,6,2,1,11,2,3,0,1,0,0,0,0,0,1,11,8,5,7,3,"yellow sand verbena","Present","Abronia latifolia","52618",NA,NA
"Abronia umbellata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",3,3,53801,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,"pink sand verbena","Probably Present","Abronia umbellata","53801",NA,NA
"Acacia baileyana","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bailey's acacia, Cootamundra wattle","Unconfirmed","Acacia baileyana","55345",NA,NA
"Acacia dealbata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",1,1,53343,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"mimosa, silver wattle","Present","Acacia dealbata","53343",NA,NA
"Acacia longifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",7,6,63379,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Sydney golden wattle","Present","Acacia longifolia","63379",NA,NA
"Acacia mearnsii","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"black wattle","Unconfirmed","Acacia mearnsii","75250",NA,NA
"Acacia melanoxylon","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",3,3,53344,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,"Australian blackwood, blackwood, blackwood acacia","Present","Acacia melanoxylon","53344",NA,NA
"Acacia redolens","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bank catclaw","Unconfirmed","Acacia redolens","75254",NA,NA
"Acacia retinodes","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"everblooming acacia, water wattle","Present","Acacia retinodes","57040",NA,NA
"Acacia sclerosperma","Plant","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acacia","Unconfirmed","Acacia sclerosperma","243732","Acacia sclerosperma","Acacia sclerosperma"
"Acacia verticillata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",1,1,57037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"prickly Moses","Present","Acacia verticillata","57037",NA,NA
"Acaena pinnatifida","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Acaena",11,10,61224,0,0,5,3,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,6,1,3,0,"Argentinian biddy-biddy, sheepburr","Present","Acaena pinnatifida","61230",NA,NA
"Acantha spirata","Invertebrate","Animalia","Arthropoda","Insecta","Coleoptera","Buprestidae","Halecia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"angular unicorn","Present","Acantha spirata",NA,NA,NA
"Acanthinucella punctulata","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",2,1,346014,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"unicorn snail","Present","Acanthina punctulata","346014","Acanthinucella punctulata",NA
"Acanthinucella spirata","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",2,2,129931,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,"angular unicorn","Present","Acanthina spirata","129931","Acanthinucella spirata",NA
"Acanthocyclops robustus","Invertebrate","Animalia","Arthropoda","Maxillopoda","Cyclopoida","Cyclopidae","Acanthocyclops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Acanthocyclops robustus","345066","Acanthocyclops robustus","Acanthocyclops robustus"
"Acanthodoris hudsoni","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",1,1,48447,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA
"Acanthodoris lutea","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",28,11,47472,2,2,0,0,4,9,7,1,0,0,1,2,0,1,0,1,0,0,0,5,10,8,3,NA,NA,NA,NA,NA,NA
"Acanthodoris nanaimoensis","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",1,1,47476,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"wine-plumed spiny doris","Present","Acanthodoris nanaimoensis","47476",NA,NA
"Acanthodoris rhodoceras","Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Onchidorididae","Acanthodoris",25,10,47482,1,0,0,0,1,13,9,0,0,0,0,1,0,0,0,0,0,0,1,0,9,14,1,NA,NA,NA,NA,NA,NA
"Acanthogobius flavimanus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Acanthogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowfin goby","Present","Acanthogobius flavimanus","117563",NA,NA
"Acanthomintha duttonii","Plant","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","Acanthomintha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"San Mateo thorn-mint","Unconfirmed","Acanthomintha duttonii","57112","Acanthomintha duttonii","Acanthomintha duttonii"
"Acanthoparyphium spinullsum","Invertebrate","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Echinostomatidae","Acanthoparyphium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Acanthoparyphium spinullsum","339202","Acanthoparyphium spinullsum","Acanthoparyphium spinullsum"
"Acanthus mollis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Acanthaceae","Acanthus",1,1,70045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"bear's breech","Unconfirmed","Acanthus mollis","70045",NA,NA
"Acartia","Invertebrate","Animalia","Arthropoda","Maxillopoda","Calanoida","Acartiidae","Acartia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Acartia","195081","Acartia","Acartia"
"Accipiter cooperii","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",15,10,5112,0,2,0,0,1,0,1,2,7,2,0,0,0,0,0,0,0,3,3,2,4,3,0,"Cooper's Hawk","Present","Accipiter cooperii","5112",NA,NA
"Accipiter gentilis","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Goshawk","Present","Accipiter gentilis","5108",NA,NA
"Accipiter striatus","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",6,3,5097,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,1,"Sharp-shinned Hawk","Present","Accipiter striatus","5097",NA,NA
"Acer macrophyllum","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",12,11,48227,0,0,4,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,1,3,3,5,0,"bigleaf maple","Present","Acer macrophyllum","48227",NA,NA
"Acer negundo","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",7,6,47726,0,0,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,2,1,2,1,NA,NA,NA,NA,NA,NA
"Acer platanoides","Plant","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer",2,2,54763,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,NA
"Achillea millefolium","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achillea",89,59,52821,2,2,36,15,13,3,1,7,8,0,0,2,0,0,0,0,1,1,7,30,12,21,17,"common yarrow","Present","Achillea millefolium","52821",NA,NA
"Achnanthes brevipes","Microbe","Chromista","Ochrophyta","Bacillariophyceae","Achnanthales","Achnanthaceae","Achnanthes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Present","Achnanthes brevipes","345145","Achnanthes brevipes","Achnanthes brevipes"
"Achyrachaena mollis","Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Achyrachaena",3,3,56852,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,"blow wives, soft blow wives","Present","Achyrachaena mollis","56852",NA,NA
