"Scientific.Name","Occurrence","other.rank","matched.ID","kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category"
"Antilocapra americana","Not In Park","","42429","1","2","40151","152870","42427","42428","42429","Animalia","Chordata","Mammalia","Artiodactyla","Antilocapridae","Antilocapra","Antilocapra americana","Animals","Chordates","Mammals","Even-toed Ungulates","Pronghorn and Relatives","","Pronghorn","Mammal"
"Capra hircus","Not In Park","","123070","1","2","40151","152870","42241","42348","123070","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra hircus","Animals","Chordates","Mammals","Even-toed Ungulates","Bovids","Goats","Domestic Goat","Mammal"
"Axis axis","Present","","42166","1","2","40151","152870","42158","42162","42166","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Axis","Axis axis","Animals","Chordates","Mammals","Even-toed Ungulates","Deer","","Chital","Mammal"
"Cervus elaphus nannodes","Present","","117767","1","2","40151","152870","42158","42205","42206","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus","Animals","Chordates","Mammals","Even-toed Ungulates","Deer","","Elk","Mammal"
"Dama dama","Present","","42161","1","2","40151","152870","42158","42159","42161","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Dama","Dama dama","Animals","Chordates","Mammals","Even-toed Ungulates","Deer","","Fallow Deer","Mammal"
"Odocoileus hemionus columbianus","Present","","42221","1","2","40151","152870","42158","42219","42220","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus hemionus","Animals","Chordates","Mammals","Even-toed Ungulates","Deer","Mule and White-tailed Deer","Mule Deer","Mammal"
"Sus scrofa","Not In Park","","42134","1","2","40151","152870","42118","42126","42134","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","Sus","Sus scrofa","Animals","Chordates","Mammals","Even-toed Ungulates","Pigs","","Wild Boar","Mammal"
"Canis latrans","Present","","42051","1","2","40151","41573","42043","42044","42051","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans","Animals","Chordates","Mammals","Carnivorans","Canids","Wolves and Allies","Coyote","Mammal"
"Urocyon cinereoargenteus","Present","","42076","1","2","40151","41573","42043","42075","42076","Animalia","Chordata","Mammalia","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus","Animals","Chordates","Mammals","Carnivorans","Canids","Gray Foxes","Gray Fox","Mammal"
"Vulpes vulpes","Present","","42069","1","2","40151","41573","42043","42054","42069","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes","Animals","Chordates","Mammals","Carnivorans","Canids","True Foxes","Red Fox","Mammal"
"Felis silvestris","Present","","41960","1","2","40151","41573","41944","41956","41960","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis silvestris","Animals","Chordates","Mammals","Carnivorans","Cats","Cats","Wildcat","Mammal"
"Lynx rufus","Present","","41976","1","2","40151","41573","41944","41973","41976","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus","Animals","Chordates","Mammals","Carnivorans","Cats","Lynxes","Bobcat","Mammal"
"Puma concolor","Present","","42007","1","2","40151","41573","41944","42006","42007","Animalia","Chordata","Mammalia","Carnivora","Felidae","Puma","Puma concolor","Animals","Chordates","Mammals","Carnivorans","Cats","Mountain Lion and Jaguarundi","Mountain Lion","Mammal"
"Mephitis mephitis","Present","","41880","1","2","40151","41573","41871","41878","41880","Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Mephitis","Mephitis mephitis","Animals","Chordates","Mammals","Carnivorans","Skunks","Striped and Hooded Skunks","Striped Skunk","Mammal"
"Spilogale putorius","Present","","41882","1","2","40151","41573","41871","41881","41882","Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","Spilogale putorius","Animals","Chordates","Mammals","Carnivorans","Skunks","Spotted Skunks","Eastern Spotted Skunk","Mammal"
"Enhydra lutris nereis","Present","","117520","1","2","40151","41573","41770","41859","41860","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Enhydra","Enhydra lutris","Animals","Chordates","Mammals","Carnivorans","Mustelids","","Sea Otter","Mammal"
"Lutra canadensis","Present","","41777","1","2","40151","41573","41770","41775","41777","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lontra","Lontra canadensis","Animals","Chordates","Mammals","Carnivorans","Mustelids","New World River Otters","North American River Otter","Mammal"
"Mustela erminea","Present","","41808","1","2","40151","41573","41770","41801","41808","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela erminea","Animals","Chordates","Mammals","Carnivorans","Mustelids","Weasels","Short-tailed Weasel","Mammal"
"Mustela frenata","Present","","41810","1","2","40151","41573","41770","41801","41810","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela frenata","Animals","Chordates","Mammals","Carnivorans","Mustelids","Weasels","Long-tailed Weasel","Mammal"
"Mustela vison","Not In Park","","74758","1","2","40151","41573","41770","71877","74758","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Neovison","Neovison vison","Animals","Chordates","Mammals","Carnivorans","Mustelids","","American Mink","Mammal"
"Taxidea taxus","Present","","41789","1","2","40151","41573","41770","41788","41789","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Taxidea","Taxidea taxus","Animals","Chordates","Mammals","Carnivorans","Mustelids","","American Badger","Mammal"
"Arctocephalus townsendi","Present","","41746","1","2","40151","41573","41736","41741","41746","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","Arctocephalus townsendi","Animals","Chordates","Mammals","Carnivorans","Eared Seals","","Guadalupe Fur Seal","Mammal"
"Callorhinus ursinus","Present","","41757","1","2","40151","41573","41736","41756","41757","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Callorhinus","Callorhinus ursinus","Animals","Chordates","Mammals","Carnivorans","Eared Seals","","Northern Fur Seal","Mammal"
"Eumetopias jubatus","Present","","41755","1","2","40151","41573","41736","41754","41755","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Eumetopias","Eumetopias jubatus","Animals","Chordates","Mammals","Carnivorans","Eared Seals","","Steller Sea Lion","Mammal"
"Zalophus californianus","Present","","41740","1","2","40151","41573","41736","41737","41740","Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus","Zalophus californianus","Animals","Chordates","Mammals","Carnivorans","Eared Seals","","California Sea Lion","Mammal"
"Mirounga angustirostris","Present","","41728","1","2","40151","41573","41687","41727","41728","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris","Animals","Chordates","Mammals","Carnivorans","True Seals","Elephant Seals","Northern Elephant Seal","Mammal"
"Phoca vitulina richardii","Present","","117766","1","2","40151","41573","41687","41707","41708","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Phoca","Phoca vitulina","Animals","Chordates","Mammals","Carnivorans","True Seals","","Harbor Seal","Mammal"
"Bassariscus astutus","Present","","41676","1","2","40151","41573","41660","41674","41676","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Bassariscus","Bassariscus astutus","Animals","Chordates","Mammals","Carnivorans","Raccoons and Allies","","Ringtail","Mammal"
"Procyon lotor","Present","","41663","1","2","40151","41573","41660","41661","41663","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Procyon","Procyon lotor","Animals","Chordates","Mammals","Carnivorans","Raccoons and Allies","Raccoons","Common Raccoon","Mammal"
"Ursus americanus","Present","","41638","1","2","40151","41573","41636","41637","41638","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus americanus","Animals","Chordates","Mammals","Carnivorans","Bears","","American Black Bear","Mammal"
"Ursus arctos","Not In Park","","41641","1","2","40151","41573","41636","41637","41641","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus arctos","Animals","Chordates","Mammals","Carnivorans","Bears","","Brown Bear","Mammal"
"Balaenoptera acutorostrata","Present","","41550","1","2","40151","152871","41546","41547","41550","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Rorquals","","Minke Whale","Mammal"
"Balaenoptera borealis","Probably Present","","41559","1","2","40151","152871","41546","41547","41559","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera borealis","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Rorquals","","Sei Whale","Mammal"
"Balaenoptera musculus","Present","","41553","1","2","40151","152871","41546","41547","41553","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera musculus","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Rorquals","","Blue Whale","Mammal"
"Balaenoptera physalus","Present","","41562","1","2","40151","152871","41546","41547","41562","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Rorquals","","Fin Whale","Mammal"
"Megaptera novaeangliae","Present","","41566","1","2","40151","152871","41546","41565","41566","Animalia","Chordata","Mammalia","Cetacea","Balaenopteridae","Megaptera","Megaptera novaeangliae","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Rorquals","","Humpback Whale","Mammal"
"Delphinus capensis","Probably Present","","41525","1","2","40151","152871","41479","41524","41525","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus capensis","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","Common Dolphins","Long-beaked Common Dolphin","Mammal"
"Delphinus delphis","Probably Present","","41526","1","2","40151","152871","41479","41524","41526","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Delphinus","Delphinus delphis","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","Common Dolphins","Short-beaked Common Dolphin","Mammal"
"Grampus griseus","Present","","41541","1","2","40151","152871","41479","41540","41541","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Grampus","Grampus griseus","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","","Risso's Dolphin","Mammal"
"Lagenorhynchus obliquidens","Present","","41510","1","2","40151","152871","41479","41504","41510","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lagenorhynchus","Lagenorhynchus obliquidens","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","","Pacific White-sided Dolphin","Mammal"
"Lissodelphis borealis","Present","","41537","1","2","40151","152871","41479","41535","41537","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Lissodelphis","Lissodelphis borealis","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","Right Whale Dolphins","Northern Right Whale Dolphin","Mammal"
"Orcinus orca","Present","","41521","1","2","40151","152871","41479","41520","41521","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Orcinus","Orcinus orca","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","","Orca","Mammal"
"Pseudorca crassidens","Unconfirmed","","41539","1","2","40151","152871","41479","41538","41539","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Pseudorca","Pseudorca crassidens","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","","False Killer Whale","Mammal"
"Stenella coeruleoalba","Present","","41494","1","2","40151","152871","41479","41493","41494","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Stenella","Stenella coeruleoalba","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","Side-Striped Dolphins","Striped Dolphin","Mammal"
"Steno bredanensis","Unconfirmed","","41545","1","2","40151","152871","41479","41544","41545","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Steno","Steno bredanensis","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","","Rough-toothed Dolphin","Mammal"
"Tursiops truncatus","Present","","41482","1","2","40151","152871","41479","41480","41482","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Tursiops","Tursiops truncatus","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Ocean Dolphins","Bottlenose Dolphins","Common Bottlenose Dolphin","Mammal"
"Eschrichtius robustus","Present","","41478","1","2","40151","152871","41476","41477","41478","Animalia","Chordata","Mammalia","Cetacea","Eschrichtiidae","Eschrichtius","Eschrichtius robustus","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Gray Whale","","Gray Whale","Mammal"
"Berardius bairdii","Unconfirmed","","41426","1","2","40151","152871","41401","41424","41426","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae","Berardius","Berardius bairdii","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Beaked Whales","","Baird's Beaked Whale","Mammal"
"Mesoplodon carlhubbsi","Unconfirmed","","41406","1","2","40151","152871","41401","41402","41406","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae","Mesoplodon","Mesoplodon carlhubbsi","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Beaked Whales","Mesoplodont Whales","Arch-beaked Whale","Mammal"
"Mesoplodon densirostris","Unconfirmed","","41408","1","2","40151","152871","41401","41402","41408","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae","Mesoplodon","Mesoplodon densirostris","Animals","Chordates","Mammals","Whales, Dolphins, and Porpoises","Beaked Whales","Mesoplodont Whales","Blainville's Beaked Whale","Mammal"
