"decimalLongitude","decimalLatitude","id","recordedBy","userNumber","eventDate","eventTime","dateIdentified","verbatimLocality","coordinateUncertaintyInMeters","informationWithheld","identificationID","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","year","month","hour","PARK_CODE","PARK_NAME","PARK_TYPE","IN_PARK","speciesFixed","category"
-122.9499969482,38.159198761,332,"Ken-ichi Ueda",1,2008-05-28,"",2008-05-28,"McClures Beach, Pt Reyes National Seashore, Marin Co., CA",NA,"",240,4647,"Falco peregrinus","species","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2008,5,NA,"PORE","Point Reyes","National Seashore",TRUE,"Falco peregrinus","Bird"
-122.9499969482,38.1545982361,333,"Ken-ichi Ueda",1,2008-05-28,"",2008-05-28,"McClure's Beach, Pt Reyes National Seashore, Marin Co., CA",NA,"",241,47414,"Emerita analoga","species","Animalia","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita",2008,5,NA,"PORE","Point Reyes","National Seashore",TRUE,"Emerita analoga","Invertebrate"
-122.7910003662,37.9734992981,524,"Ken-ichi Ueda",1,2008-07-27,"19:02:36Z",2008-07-29,"Point Reyes National Seashore, Marin Co., CA",NA,"",401,1409,"Callipepla californica","species","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla",2008,7,19,"PORE","Point Reyes","National Seashore",TRUE,"Callipepla californica","Bird"
-122.7910003662,37.9702987671,525,"Ken-ichi Ueda",1,2008-07-27,"15:20:56Z",2008-07-29,"Point Reyes National Seashore, Marin Co., CA",NA,"",402,11901,"Hirundo rustica","species","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo",2008,7,15,"PORE","Point Reyes","National Seashore",TRUE,"Hirundo rustica","Bird"
-122.7939987183,37.9718017578,526,"Ken-ichi Ueda",1,2008-07-26,"",2008-07-29,"Point Reyes National Seashore, Marin Co., CA",NA,"",403,4627,"Gavia stellata","species","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia",2008,7,NA,"PORE","Point Reyes","National Seashore",TRUE,"Gavia stellata","Bird"
-122.7919998169,37.9696006775,527,"Ken-ichi Ueda",1,2008-07-26,"",2008-07-29,"Point Reyes National Seashore, Marin Co., CA",NA,"",404,4353,"Larus heermanni","species","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",2008,7,NA,"PORE","Point Reyes","National Seashore",TRUE,"Larus heermanni","Bird"
-122.7829971313,37.9539985657,528,"Ken-ichi Ueda",1,2008-07-26,"23:31:04Z",2016-02-19,"Point Reyes National Seashore, Marin Co., CA",NA,"",5211196,48014,"Mimulus guttatus","species","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",2008,7,23,"PORE","Point Reyes","National Seashore",TRUE,"Mimulus guttatus","Plant"
-122.7838363647,37.9872627258,1252,"Ken-ichi Ueda",1,2009-01-17,"21:48:00Z",2009-01-18,"Point Reyes National Seashore, Marin County, CA, USA",NA,"",1121,49132,"Myosotis latifolia","species","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis",2009,1,21,"PORE","Point Reyes","National Seashore",TRUE,"Myosotis latifolia","Plant"
-122.7772979736,37.9920845032,1253,"Ken-ichi Ueda",1,2009-01-17,"21:28:00Z",2009-01-18,"California, United States",NA,"",1122,49133,"Vanessa atalanta","species","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa",2009,1,21,"PORE","Point Reyes","National Seashore",TRUE,"Vanessa atalanta","Invertebrate"
-122.7623443604,37.999961853,1254,"Ken-ichi Ueda",1,2009-01-17,"19:58:00Z",2009-01-18,"Jewell, California, United States",NA,"",1123,49134,"Sarcoscypha coccinea","species","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha",2009,1,19,"PORE","Point Reyes","National Seashore",TRUE,"Sarcoscypha coccinea","Fungi"
-122.7614364624,37.9964103699,1258,"Ken-ichi Ueda",1,2007-01-20,"19:17:00Z",2009-01-18,"Five Brooks, California, United States",NA,"",1127,48716,"Aleuria aurantia","species","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria",2007,1,19,"PORE","Point Reyes","National Seashore",TRUE,"Aleuria aurantia","Fungi"
-122.9588623047,38.0807380676,2205,"Ken-ichi Ueda",1,2009-04-04,"22:34:00Z",2016-09-15,"Point Reyes National Seashore, Marin, California, USA",NA,"",8049380,68896,"Romulea rosea","species","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Romulea",2009,4,22,"PORE","Point Reyes","National Seashore",TRUE,"Romulea rosea","Plant"
-122.9675674438,38.0243225098,2206,"Ken-ichi Ueda",1,2009-04-04,"21:38:00Z",2009-04-05,"Point Reyes National Seashore, Marin, California, USA",NA,"",2237,50851,"Cerastium arvense","species","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",2009,4,21,"PORE","Point Reyes","National Seashore",TRUE,"Cerastium arvense","Plant"
-122.9683761597,37.9909286499,2209,"Ken-ichi Ueda",1,2009-04-04,"01:07:00Z",2009-04-05,"Point Reyes National Seashore, Marin, California, USA",NA,"",2240,50840,"Calochortus tolmiei","species","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus",2009,4,1,"PORE","Point Reyes","National Seashore",TRUE,"Calochortus tolmiei","Plant"
-122.9487342309,38.0422201413,2210,"Ken-ichi Ueda",1,2009-04-04,"23:02:00Z",2009-04-05,"California, US",28285,"Coordinate uncertainty increased to 28285m to protect threatened taxon",2241,50841,"Hosackia gracilis","species","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Hosackia",2009,4,23,"PORE","Point Reyes","National Seashore",TRUE,"Hosackia gracilis","Plant"
-122.9528884888,38.0760574341,2211,"Ken-ichi Ueda",1,2009-04-04,"22:54:00Z",2009-04-05,"Point Reyes National Seashore, Marin, California, USA",NA,"",2242,50854,"Iris douglasiana","species","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Iris",2009,4,22,"PORE","Point Reyes","National Seashore",TRUE,"Iris douglasiana","Plant"
-122.9722137451,37.9927139282,2212,"Ken-ichi Ueda",1,2009-04-04,"00:37:00Z",2009-04-05,"Point Reyes National Seashore, Marin, California, United States",NA,"",2243,41728,"Mirounga angustirostris","species","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2009,4,0,"PORE","Point Reyes","National Seashore",TRUE,"Mirounga angustirostris","Mammal"
-122.978553772,38.2236709595,2648,"Ken-ichi Ueda",1,2007-09-16,"23:23:00Z",2016-10-03,"Point Reyes National Seashore, California, United States",NA,"",8342260,42206,"Cervus elaphus","species","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",2007,9,23,"PORE","Point Reyes","National Seashore",TRUE,"Cervus elaphus","Mammal"
-122.9130020142,38.1604804993,2987,"Ken-ichi Ueda",1,2009-06-28,"16:26:00Z",2009-06-29,"Lairds Landing, California, United States",NA,"",3135,47469,"Doris montereyensis","species","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris",2009,6,16,"PORE","Point Reyes","National Seashore",TRUE,"Doris montereyensis","Invertebrate"
