"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","original.inat.taxonID"
-122.9499969482,38.159198761,"Bird","Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco","Falco peregrinus",2008,5,4647
-122.9499969482,38.1545982361,"Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita","Emerita analoga",2008,5,47414
-122.7910003662,37.9734992981,"Bird","Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla","Callipepla californica",2008,7,1409
-122.7910003662,37.9702987671,"Bird","Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo","Hirundo rustica",2008,7,11901
-122.7939987183,37.9718017578,"Bird","Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia","Gavia stellata",2008,7,4627
-122.7919998169,37.9696006775,"Bird","Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus","Larus heermanni",2008,7,4353
-122.7829971313,37.9539985657,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus guttatus",2008,7,48014
-122.7838363647,37.9872627258,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis","Myosotis latifolia",2009,1,49132
-122.7772979736,37.9920845032,"Invertebrate","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa","Vanessa atalanta",2009,1,49133
-122.7623443604,37.999961853,"Fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha","Sarcoscypha coccinea",2009,1,49134
-122.7614364624,37.9964103699,"Fungi","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria","Aleuria aurantia",2007,1,48716
-122.9588623047,38.0807380676,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Romulea","Romulea rosea",2009,4,68896
-122.9675674438,38.0243225098,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium","Cerastium arvense",2009,4,50851
-122.9683761597,37.9909286499,"Plant","Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","Calochortus tolmiei",2009,4,50840
-122.9487342309,38.0422201413,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Hosackia","Hosackia gracilis",2009,4,50841
-122.9528884888,38.0760574341,"Plant","Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Iris","Iris douglasiana",2009,4,50854
-122.9722137451,37.9927139282,"Mammal","Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga","Mirounga angustirostris",2009,4,41728
-122.978553772,38.2236709595,"Mammal","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus","Cervus elaphus",2007,9,42206
-122.9130020142,38.1604804993,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris","Doris montereyensis",2009,6,47469
-122.9150924683,38.1629562378,"Invertebrate","Animalia","Mollusca","Gastropoda","Anaspidea","Notarchidae","Phyllaplysia","Phyllaplysia taylori",2009,6,49864
-122.9150924683,38.1629562378,"Invertebrate","Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora fuscescens",2009,6,48479
-122.9130020142,38.1604804993,"Invertebrate","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Romaleon","Romaleon antennarium",2009,6,202315
-122.9130020142,38.1604804993,"Invertebrate","Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula","Diaulula sandiegensis",2009,6,508884
