"speciesFixed","total_obs","user_obs","kingdom","phylum","class","order","family","genus","category","inat.taxonID","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Common.Names","Occurrence","Category"
"Abronia latifolia",20,15,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia","Plant",52618,0,1,5,2,4,3,2,1,1,0,1,0,0,0,2,0,0,1,1,4,8,4,0,"coastal sand verbena, Yellow Sand-verbena","Present","Plant"
"Abronia umbellata",3,3,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia","Plant",53801,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,"pink sand verbena, sand verbena","Present","Plant"
"Acacia longifolia",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Plant",63379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Golden Wattle","Unconfirmed","Plant"
"Acacia melanoxylon",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Plant",53344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Acacia","Probably Present","Plant"
"Acacia verticillata",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia","Plant",57037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Star Acacia","Probably Present","Plant"
"Acaena pinnatifida",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Acaena","Plant",61230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acaena","Present","Plant"
"Acanthogobius flavimanus",NA,NA,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Acanthogobius","Fish",117563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowfin goby","Present","Fish"
"Accipiter cooperii",3,3,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird",5112,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,"Cooper's Hawk","Present","Bird"
"Accipiter gentilis",NA,NA,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird",5108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Northern Goshawk","Present","Bird"
"Accipiter striatus",1,1,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter","Bird",5097,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"Sharp-shinned Hawk","Present","Bird"
"Acer macrophyllum",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Plant",48227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigleaf maple, Big-leaf Maple","Present","Plant"
"Acer negundo",NA,NA,"Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Acer","Plant",47726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California Box Elder, box elder","Present","Plant"
