"speciesFixed","category","kingdom","phylum","class","order","family","genus","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Occurrence","species.ID","inat.iconic","source","species.common","species.science","phylum.common","phylum.science","class.common","class.science","order.common","order.science","family.common","family.science","genus.common","genus.science","inat.ID"
"Abronia latifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",20,15,0,1,5,2,4,3,2,1,1,0,1,0,0,0,2,0,0,1,1,4,8,4,0,"Present","4776","Plantae","iNat","Yellow Sand Verbena","Abronia latifolia","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Four O'Clocks","Nyctaginaceae","Sand verbenas","Abronia","52618"
"Abronia umbellata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",3,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,"Present","6311","Plantae","iNat","Pink Sand Verbena","Abronia umbellata","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Dicots","Caryophyllales","Four O'Clocks","Nyctaginaceae","Sand verbenas","Abronia","53801"
"Acacia longifolia","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unconfirmed","18621","Plantae","iNat","Sydney golden wattle","Acacia longifolia","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Thorntrees","Acacia","63379"
"Acacia melanoxylon","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","5363","Plantae","iNat","Tasmanian Blackwood","Acacia melanoxylon","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Thorntrees","Acacia","53344"
"Acacia verticillata","Plant","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Acacia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably Present","11714","Plantae","iNat","Prickly Moses","Acacia verticillata","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Legumes and allies","Fabales","Legumes","Fabaceae","Thorntrees","Acacia","57037"
"Acaena pinnatifida","Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Acaena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","22632","Plantae","iNat","Argentinian biddy biddy","Acaena pinnatifida","Flowering plants","Magnoliophyta","Dicots","Magnoliopsida","Roses and allies","Rosales","Rose family","Rosaceae","Bidibid","Acaena","61230"
"Acanthinucella spirata","Invertebrate","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Acanthinucella",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,"2301646","Mollusca","iNat","Angular Unicorn","Acanthinucella spirata","Mollusks","Mollusca","Gastropods","Gastropoda","Gastropods","Neogastropoda","Murex Snails","Muricidae","Murex Snails","Acanthinucella","129931"
"Acanthogobius flavimanus","Fish","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Acanthogobius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69479","Actinopterygii","iNat","Yellowfin Goby","Acanthogobius flavimanus","Chordates","Chordata","Ray-finned Fishes","Actinopterygii","Perch-like Fishes","Perciformes","Gobies","Gobiidae","Gobies","Acanthogobius","117563"
"Accipiter cooperii","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",3,3,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,"Present","1284979","Aves","iNat","Cooper's Hawk","Accipiter cooperii","Chordates","Chordata","Birds","Aves","Hawks, Eagles, Vultures, and Allies","Accipitriformes","Hawks, Eagles, and Kites","Accipitridae","Accipiters","Accipiter","5112"
"Accipiter gentilis","Bird","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Present","69746","Aves","iNat","Northern Goshawk","Accipiter gentilis","Chordates","Chordata","Birds","Aves","Hawks, Eagles, Vultures, and Allies","Accipitriformes","Hawks, Eagles, and Kites","Accipitridae","Accipiters","Accipiter","5108"
