"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"1","2","196614","196615","49298","49312","51491","Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis californica","Animals","Chordates","Cartilaginous Fishes","Stingrays","Eagle Rays","","Bat Ray","Fish",51491,"Myliobatis californica","species","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis californica",5,5,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,"Myliobatis californica","Present","",51491
"1","2","196614","47272","48408","48407","111517","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja binoculata","Animals","Chordates","Cartilaginous Fishes","Skates and Guitarfishes","Hardnose Skates","","Big Skate","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raja binoculata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raja binoculata","Present","",111517
"1","2","196614","47272","48408","48407","111524","Animalia","Chordata","Chondrichthyes","Rajiformes","Rajidae","Raja","Raja inornata","Animals","Chordates","Cartilaginous Fishes","Skates and Guitarfishes","Hardnose Skates","","California Skate","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raja inornata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Raja inornata","Present","",111524
"1","2","196614","47272","48412","48411","48401","Animalia","Chordata","Chondrichthyes","Rajiformes","Rhinobatidae","Platyrhinoidis","Platyrhinoidis triseriata","Animals","Chordates","Cartilaginous Fishes","Skates and Guitarfishes","Guitarfishes","","Thornback Guitarfish","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platyrhinoidis triseriata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Platyrhinoidis triseriata","Present","",48401
"1","2","196614","47311","85823","88895","102743","Animalia","Chordata","Chondrichthyes","Hexanchiformes","Hexanchidae","Hexanchus","Hexanchus griseus","Animals","Chordates","Cartilaginous Fishes","Frilled and Cow Sharks","Cow Sharks","Sixgill Sharks","Bluntnose Sixgill Shark","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hexanchus griseus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hexanchus griseus","Present","",102743
"1","2","196614","47311","85823","90369","107194","Animalia","Chordata","Chondrichthyes","Hexanchiformes","Hexanchidae","Notorynchus","Notorynchus cepedianus","Animals","Chordates","Cartilaginous Fishes","Frilled and Cow Sharks","Cow Sharks","","Broadnose Shark","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notorynchus cepedianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Notorynchus maculatus","Present","",107194
"1","2","196614","48069","49965","49966","106254","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","Mustelus californicus","Animals","Chordates","Cartilaginous Fishes","Ground Sharks","Houndsharks","Smooth-Hounds","Grey Smooth-hound","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustelus californicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mustelus californicus","Present","",106254
"1","2","196614","48069","49965","49966","106258","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Mustelus","Mustelus henlei","Animals","Chordates","Cartilaginous Fishes","Ground Sharks","Houndsharks","Smooth-Hounds","Brown Smooth-hound","Fish",106258,"Mustelus henlei","species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus","Mustelus henlei",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"Mustelus henlei","Present","",106258
"1","2","196614","48069","49965","52298","52297","Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis","Triakis semifasciata","Animals","Chordates","Cartilaginous Fishes","Ground Sharks","Houndsharks","","Leopard Shark","Fish",52297,"Triakis semifasciata","species","Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Triakis","Triakis semifasciata",4,4,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,"Triakis semifasciata","Present","",52297
"1","2","196614","50870","50874","50875","50873","Animalia","Chordata","Chondrichthyes","Lamniformes","Lamnidae","Carcharodon","Carcharodon carcharias","Animals","Chordates","Cartilaginous Fishes","Mackerel Sharks","Mackerel Sharks","","White Shark","Fish",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharodon carcharias",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Carcharodon carcharias","Present","",50873
