"decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","kingdom","phylum","class","order","family","genus","year","month","speciesFixed","category"
-122.9499969482,38.159198761,NA,"Animalia","Chordata","Aves","Falconiformes","Falconidae","Falco",2008,5,"Falco peregrinus","Bird"
-122.9499969482,38.1545982361,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Hippidae","Emerita",2008,5,"Emerita analoga","Invertebrate"
-122.7910003662,37.9734992981,NA,"Animalia","Chordata","Aves","Galliformes","Odontophoridae","Callipepla",2008,7,"Callipepla californica","Bird"
-122.7910003662,37.9702987671,NA,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Hirundo",2008,7,"Hirundo rustica","Bird"
-122.7939987183,37.9718017578,NA,"Animalia","Chordata","Aves","Gaviiformes","Gaviidae","Gavia",2008,7,"Gavia stellata","Bird"
-122.7919998169,37.9696006775,NA,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",2008,7,"Larus heermanni","Bird"
-122.7829971313,37.9539985657,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus",2008,7,"Mimulus guttatus","Plant"
-122.7838363647,37.9872627258,NA,"Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Myosotis",2009,1,"Myosotis latifolia","Plant"
-122.7772979736,37.9920845032,NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Vanessa",2009,1,"Vanessa atalanta","Invertebrate"
-122.7623443604,37.999961853,NA,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Sarcoscyphaceae","Sarcoscypha",2009,1,"Sarcoscypha coccinea","Fungi"
-122.7614364624,37.9964103699,NA,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Aleuria",2007,1,"Aleuria aurantia","Fungi"
-122.9588623047,38.0807380676,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Romulea",2009,4,"Romulea rosea","Plant"
-122.9675674438,38.0243225098,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",2009,4,"Cerastium arvense","Plant"
-122.9683761597,37.9909286499,NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus",2009,4,"Calochortus tolmiei","Plant"
-122.9487342309,38.0422201413,28285,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Hosackia",2009,4,"Hosackia gracilis","Plant"
-122.9528884888,38.0760574341,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Iridaceae","Iris",2009,4,"Iris douglasiana","Plant"
-122.9722137451,37.9927139282,NA,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2009,4,"Mirounga angustirostris","Mammal"
-122.978553772,38.2236709595,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",2007,9,"Cervus elaphus","Mammal"
-122.9130020142,38.1604804993,NA,"Animalia","Mollusca","Gastropoda","Nudibranchia","Dorididae","Doris",2009,6,"Doris montereyensis","Invertebrate"
-122.9150924683,38.1629562378,NA,"Animalia","Mollusca","Gastropoda","Anaspidea","Notarchidae","Phyllaplysia",2009,6,"Phyllaplysia taylori","Invertebrate"
-122.9150924683,38.1629562378,NA,"Animalia","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora",2009,6,"Chrysaora fuscescens","Invertebrate"
-122.9130020142,38.1604804993,NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","Romaleon",2009,6,"Romaleon antennarium","Invertebrate"
-122.9130020142,38.1604804993,NA,"Animalia","Mollusca","Gastropoda","Nudibranchia","Discodorididae","Diaulula",2009,6,"Diaulula sandiegensis","Invertebrate"
-122.95652771,38.1182670593,NA,"Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Cicindela",2009,8,"Cicindela oregona","Invertebrate"
-122.9511642456,38.1192932129,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",2009,8,"Abronia latifolia","Plant"
-122.9360310428,38.132844704,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia",2009,8,"Piperia elegans","Plant"
-122.9579772949,38.1193008423,NA,"Animalia","Chordata","Mammalia","Carnivora","Otariidae","Zalophus",2009,8,"Zalophus californianus","Mammal"
-122.9535751343,38.1187362671,NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Microtes",2009,8,"Microtes occidentalis","Invertebrate"
-122.9527130127,38.1194915771,NA,"Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium",2009,8,"Heliotropium curassavicum","Plant"
-122.9381713867,38.1234474182,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",2009,8,"Cirsium occidentale","Plant"
-122.8671875,38.0454368591,NA,"Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx",2009,12,"Lynx rufus","Mammal"
-122.7606430054,37.9990692139,NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria",2007,1,"Laccaria amethysteo-occidentalis","Fungi"
-122.977722168,37.9959144592,NA,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2010,1,"Mirounga angustirostris","Mammal"
-122.9617156982,38.0274009705,NA,"Animalia","Chordata","Mammalia","Carnivora","Phocidae","Mirounga",2010,1,"Mirounga angustirostris","Mammal"
-122.9721450806,38.0454216003,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",2010,1,"Cervus elaphus","Mammal"
-122.7995147705,38.0413665771,NA,"Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta",2010,1,"Sitta pygmaea","Bird"
-122.9194564819,38.0598144531,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Amaryllidaceae","Amaryllis",2010,8,"Amaryllis belladonna","Plant"
-122.9138870239,38.0336112976,NA,"Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis",2010,8,"Myliobatis californica","Fish"
-122.9138565063,38.0336608887,NA,"Animalia","Chordata","Chondrichthyes","Carcharhiniformes","Triakidae","Triakis",2010,8,"Triakis semifasciata","Fish"
-122.9200668335,38.0624504089,NA,"Plantae","Magnoliophyta","Magnoliopsida","Ericales","Polemoniaceae","Navarretia",2010,8,"Navarretia squarrosa","Plant"
-122.9189071655,38.0638008118,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",2010,8,"Mentha pulegium","Plant"
-122.9492034912,38.179977417,NA,"Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Cervus",2010,11,"Cervus elaphus","Mammal"
-122.9376983643,38.1642570496,NA,"Animalia","Chordata","Aves","Passeriformes","Corvidae","Corvus",2010,11,"Corvus corax","Bird"
-122.9335784912,38.124835968,NA,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Buteo",2010,11,"Buteo jamaicensis","Bird"
-122.91847229,38.0704612732,NA,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Amanitaceae","Amanita",2010,11,"Amanita muscaria","Fungi"
-122.8658591,38.0705092,NA,"Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes",2008,7,"Cathartes aura","Bird"
-122.8658591,38.0705092,10000,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus",2008,7,"Circus cyaneus","Bird"
-122.9969423,38.0013176,NA,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Hydroprogne",2008,7,"Hydroprogne caspia","Bird"
-122.9969423,38.0013176,NA,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae","Tachycineta",2008,7,"Tachycineta thalassina","Bird"
-122.9532659054,38.1190982466,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Abronia",2009,7,"Abronia latifolia","Plant"
-122.9455277324,38.1185470673,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Anaphalis",2010,7,"Anaphalis margaritacea","Plant"
-122.9513561726,38.1177646055,NA,"Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Crassulaceae","Dudleya",2010,7,"Dudleya farinosa","Plant"
-122.9437091947,38.1188509338,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Mentha",2010,7,"Mentha arvensis","Plant"
-122.9513776302,38.1195709237,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Potentilla",2009,7,"Potentilla anserina","Plant"
-122.9493874311,38.1186323189,NA,"Animalia","Chordata","Aves","Accipitriformes","Cathartidae","Cathartes",2010,7,"Cathartes aura","Bird"
-122.951259,38.119297,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Agoseris",2009,7,"Agoseris apargioides","Plant"
-122.9493498802,38.1183689672,NA,"Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana",2009,7,"Gentiana affinis","Plant"
-122.9369688034,38.1234838971,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium",2009,7,"Cirsium occidentale","Plant"
-122.9440069199,38.1187234788,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Stachys",2010,7,"Stachys chamissonis","Plant"
-122.9531478882,38.1185040194,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Grindelia",2009,7,"Grindelia stricta","Plant"
-122.946023941,38.1187403603,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Horkelia",2009,7,"Horkelia californica","Plant"
-122.9517316818,38.119381853,NA,"Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Polypogon",2009,7,"Polypogon monspeliensis","Plant"
-122.9461151361,38.1187504893,NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Horkelia",2010,7,"Horkelia californica","Plant"
-122.9512542486,38.119316016,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Artemisia",2010,7,"Artemisia pycnocephala","Plant"
-122.9515063763,38.1192636837,NA,"Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Heliotropium",2009,7,"Heliotropium curassavicum","Plant"
-122.9486471415,38.1189699479,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella",2009,7,"Monardella villosa","Plant"
-122.9507285357,38.1186998449,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2009,7,"Castilleja affinis","Plant"
-122.9505354166,38.1187842522,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2010,7,"Castilleja exserta","Plant"
-122.9386663601,38.044478625,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Piperia",2009,7,"Piperia elegans","Plant"
-122.9505890608,38.1186238782,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Castilleja",2010,7,"Castilleja ambigua","Plant"
-122.945895195,38.11862219,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Monardella",2009,7,"Monardella villosa","Plant"
-122.9507392645,38.1186745227,NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Baccharis",2010,7,"Baccharis pilularis","Plant"
-122.9489636421,38.1182575493,NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Themidaceae","Triteleia",2009,7,"Triteleia laxa","Plant"
-122.9509431124,38.1194257445,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Persicaria",2010,7,"Persicaria amphibia","Plant"
-122.9438781738,38.1187910047,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Erythranthe",2009,7,"Erythranthe moschata","Plant"
-122.940562,38.122011,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Chorizanthe",2009,7,"Chorizanthe cuspidata","Plant"
-122.966387,37.991096,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Orobanche",2010,8,"Orobanche californica","Plant"
-122.9715585709,37.9925439016,NA,"Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Phacelia",2010,8,"Phacelia californica","Plant"
-122.966387,37.991096,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Orobanchaceae","Orobanche",2010,8,"Orobanche californica","Plant"
-122.7440643311,37.9393238796,NA,"Animalia","Chordata","Mammalia","Rodentia","Geomyidae","Thomomys",2009,5,"Thomomys bottae","Mammal"
-122.8642853,38.0705092,NA,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Pituophis",2009,5,"Pituophis catenifer","Herp"
-122.8642853,38.0705092,NA,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",2009,5,"Larus occidentalis","Bird"
-122.8642853,38.0705092,NA,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Zonotrichia",2009,5,"Zonotrichia leucophrys","Bird"
-122.8642853,38.0705092,NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Digitalis",2009,5,"Digitalis purpurea","Plant"
-122.949821,38.118947,NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","Cerastium",2011,4,"Cerastium arvense","Plant"
-122.9507124424,38.1188787883,NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus",2011,4,"Calochortus tolmiei","Plant"
-122.951087,38.118485,NA,"Plantae","Magnoliophyta","Magnoliopsida","Fabales","Fabaceae","Lupinus",2011,4,"Lupinus bicolor","Plant"
