"class.scientific","class.common"
"",""
"Actinopterygii","Ray-finned Fishes"
"Agaricomycetes",""
"Amphibia","Amphibians"
"Anthozoa","sea anemones and corals"
"Arachnida","Arachnids"
"Arthoniomycetes",""
"Ascidiacea","Ascidiacea"
"Asteroidea","Sea stars"
"Aves","Birds"
"Bivalvia","Bivalves"
"Bryopsida","arthrodontous mosses"
"Bryopsidophyceae",""
"Chondrichthyes","Cartilaginous fish, Chondrichthyes"
"Dacrymycetes",""
"Diplopoda","Millipede"
"Echinoidea","Sea urchins"
"Equisetopsida","Horsetail"
"Filicopsida","fern (ferns)"
"Florideophyceae",""
"Gastropoda","Gastropods"
"Gymnolaemata",""
"Hydrozoa",""
"Insecta","insects"
"Lecanoromycetes",""
"Leotiomycetes",""
"Liliopsida","Monocots"
"Magnoliopsida","Flowering plants"
"Malacostraca","Malacostraca"
"Mammalia","Mammals"
"Marchantiopsida",""
"Myxomycetes",""
"Pezizomycetes","Pezizomycetes"
"Phaeophyceae","brown algae"
"Pinopsida","Conifers"
"Polychaeta","bristleworms"
"Polyplacophora","Chiton"
"Reptilia","Reptiles"
"Scyphozoa","Jellyfish"
"Sordariomycetes",""
"Thaliacea",""
"Tremellomycetes",""
"Turbellaria",""
"Ulvophyceae",""
"Zygomycetes",""
