"family.scientific","family.common"
"Accipitridae","Raptors"
"Acrididae","grasshoppers, short-horned grasshoppers"
"Actiniidae",""
"Adoxaceae","Moschatel Family"
"Aegithalidae","Bushtits"
"Aeolidiidae",""
"Aeshnidae",""
"Agaricaceae",""
"Aglajidae",""
"Aizoaceae","Stone Plants, Carpet Weeds"
"Alariaceae",""
"Alaudidae","Lark"
"Alcedinidae","Kingfishers"
"Alcidae","Auks"
"Alliaceae","amaryllids, amaryllis family"
"Alloniscidae",""
"Amanitaceae",""
"Amaranthaceae","amaranth family"
"Amaryllidaceae","amaryllids, amaryllis family"
"Ambystomatidae","Mole Salamanders"
"Anacardiaceae","Cashew family"
"Anatidae","Ducks, geese and swans"
"Anguidae",""
"Antrodiaetidae","Folding Trapdoor Spider"
"Apiaceae","Umbellifers"
"Apidae","Honeybee"
"Aplysiidae",""
"Apocynaceae","Dogbane Family"
"Aquifoliaceae","Holly"
"Araceae","aroids, arum family"
"Araliaceae","Aralia Family, Ivy Family"
"Araneidae","Orb-weaver spider"
"Ardeidae","Heron"
"Arionidae",""
"Aristolochiaceae","Birthwort family"
"Armadillidiidae","pill bug"
"Asilidae","Robber flies"
"Asparagaceae","asparagus family"
"Asphodelaceae",""
"Asteraceae","daisy family, aster family"
"Asteriidae",""
"Asterinidae",""
"Asteropseidae",""
"Athyriaceae",""
"Auriculariaceae",""
"Auriscalpiaceae",""
"Balanidae",""
"Bankeraceae",""
"Batillariidae",""
"Berberidaceae","barberry family"
"Betulaceae","Birch family"
"Blechnaceae",""
"Blepharipodidae","Spiny sand crabs"
"Boidae","Boas"
"Boletaceae",""
"Bombyliidae","Bee fly"
"Boraginaceae",""
"Brachytheciaceae",""
"Bradybaenidae",""
"Brassicaceae","Crucifers, Mustard Family, Cabbage Family"
"Bromeliaceae","Bromeliads"
"Bugulidae",""
"Bulgariaceae",""
"Cadlinidae",""
"Callianassidae",""
"Campanulaceae","Bellflowers"
"Cancridae",""
"Canidae","Dogs"
"Cantharellaceae",""
"Caprifoliaceae","Honeysuckle Family"
"Caprimulgidae","Nightjar"
