"Scientific.Name","Occurrence","other.rank","matched.ID","kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category"
"Odocoileus hemionus","Present","","42220","1","2","40151","152870","42158","42219","42220","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Odocoileus","Odocoileus hemionus","Animals","Chordates","Mammals","Even-toed Ungulates","Deer","Mule and White-tailed Deer","Mule Deer","Mammal"
"Canis latrans","Present","","42051","1","2","40151","41573","42043","42044","42051","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis latrans","Animals","Chordates","Mammals","Carnivorans","Canids","Wolves and Allies","Coyote","Mammal"
"Urocyon cinereoargenteus","Present","","42076","1","2","40151","41573","42043","42075","42076","Animalia","Chordata","Mammalia","Carnivora","Canidae","Urocyon","Urocyon cinereoargenteus","Animals","Chordates","Mammals","Carnivorans","Canids","Gray Foxes","Gray Fox","Mammal"
"Vulpes vulpes","Present","","42069","1","2","40151","41573","42043","42054","42069","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes vulpes","Animals","Chordates","Mammals","Carnivorans","Canids","True Foxes","Red Fox","Mammal"
"Felis rufus","Present","","41976","1","2","40151","41573","41944","41973","41976","Animalia","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus","Animals","Chordates","Mammals","Carnivorans","Cats","Lynxes","Bobcat","Mammal"
"Puma concolor","Present","","42007","1","2","40151","41573","41944","42006","42007","Animalia","Chordata","Mammalia","Carnivora","Felidae","Puma","Puma concolor","Animals","Chordates","Mammals","Carnivorans","Cats","Mountain Lion and Jaguarundi","Mountain Lion","Mammal"
"Mephitis mephitis","Present","","41880","1","2","40151","41573","41871","41878","41880","Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Mephitis","Mephitis mephitis","Animals","Chordates","Mammals","Carnivorans","Skunks","Striped and Hooded Skunks","Striped Skunk","Mammal"
"Spilogale putorius","Present","","41882","1","2","40151","41573","41871","41881","41882","Animalia","Chordata","Mammalia","Carnivora","Mephitidae","Spilogale","Spilogale putorius","Animals","Chordates","Mammals","Carnivorans","Skunks","Spotted Skunks","Eastern Spotted Skunk","Mammal"
"Mustela frenata","Present","","41810","1","2","40151","41573","41770","41801","41810","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Mustela","Mustela frenata","Animals","Chordates","Mammals","Carnivorans","Mustelids","Weasels","Long-tailed Weasel","Mammal"
"Taxidea taxus","Present","","41789","1","2","40151","41573","41770","41788","41789","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Taxidea","Taxidea taxus","Animals","Chordates","Mammals","Carnivorans","Mustelids","","American Badger","Mammal"
