"decimalLongitude","decimalLatitude","category","kingdom","phylum","class","order","family","genus","speciesFixed","year","month","hour","userNumber","original.inat.taxonID"
-118.9315261841,34.0502815247,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Cleomaceae","Peritoma","Peritoma arborea",2010,2,17,1,78440
-118.9317626953,34.0499534607,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","Mirabilis","Mirabilis laevis",2010,2,17,1,81126
-118.9232254028,34.063369751,"Invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Tropiduchidae","Danepteryx","Danepteryx barbarae",2010,2,19,1,56812
-118.9229354858,34.0634384155,"Invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Tropiduchidae","Danepteryx","Danepteryx barbarae",2010,2,19,1,56812
-118.9280700684,34.0521850586,"Invertebrate","Animalia","Arthropoda","Insecta","Hemiptera","Pentatomidae","Murgantia","Murgantia histrionica",2010,2,17,1,56756
-118.8846893311,34.0439758301,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Boraginales","Boraginaceae","Phacelia","Phacelia parryi",2010,2,16,1,56753
-118.929473877,34.0532493591,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Penstemon","Penstemon centranthifolius",2010,2,17,1,56752
-118.5448883,34.1302616,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Trichostema","Trichostema lanatum",2011,6,20,44,58931
-118.5424833,34.12817,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Eriogonum","Eriogonum fasciculatum",2011,6,20,44,54999
-118.5448883,34.1302616,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Phrymaceae","Mimulus","Mimulus aurantiacus",2011,6,20,44,48858
-118.5431033,34.1272083,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Deinandra","Deinandra fasciculata",2011,6,20,44,58819
-118.5430366,34.12958,"Herp","Animalia","Chordata","Reptilia","Squamata","Phrynosomatidae","Sceloporus","Sceloporus occidentalis",2011,6,20,44,36204
-118.54317,34.1271966,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Geraniales","Geraniaceae","Erodium","Erodium cicutarium",2011,6,20,44,47687
-118.544575,34.1302283,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Convolvulaceae","Cuscuta","Cuscuta californica",2011,6,20,44,57019
-118.545805,34.1310216,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Encelia","Encelia californica",2011,6,20,44,64141
-118.5472916,34.1328833,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Grossulariaceae","Ribes","Ribes speciosum",2011,6,20,44,50824
-118.546555,34.135445,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Adenostoma","Adenostoma fasciculatum",2011,6,19,44,47146
-118.546325,34.1356283,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rhamnaceae","Ceanothus","Ceanothus spinosus",2011,6,19,44,64126
-118.546225,34.13568,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium","Delphinium cardinale",2011,6,19,44,76623
-118.54595,34.1361916,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Asteraceae","Centaurea","Centaurea melitensis",2011,6,19,44,57922
-118.5454133,34.1372033,"Plant","Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Adoxaceae","Sambucus","Sambucus nigra",2011,6,19,44,61166
