"kingdom.inat.ID","phylum.inat.ID","class.inat.ID","order.inat.ID","family.inat.ID","genus.inat.ID","species.inat.ID","kingdom.science","phylum.science","class.science","order.science","family.science","genus.science","species.science","kingdom.common","phylum.common","class.common","order.common","family.common","genus.common","species.common","category","original.inat.taxonID","scientificName","taxonRank","kingdom","phylum","class","order","family","genus","speciesFixed","total_obs","user_obs","m1","m2","m3","m4","m5","m6","m7","m8","m9","m10","m11","m12","y2007","y2008","y2009","y2010","y2011","y2012","y2013","y2014","y2015","y2016","y2017","Scientific.Name","Occurrence","other.rank","matched.ID"
"1","2","196614","196615","49298","49312","51491","Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis californica","Animals","Chordates","Cartilaginous Fishes","Stingrays","Eagle Rays","","Bat Ray","Fish",51491,"Myliobatis californica","species","Animalia","Chordata","Chondrichthyes","Myliobatiformes","Myliobatidae","Myliobatis","Myliobatis californica",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"1","2","196614","47272","48412","48411","48401","Animalia","Chordata","Chondrichthyes","Rajiformes","Rhinobatidae","Platyrhinoidis","Platyrhinoidis triseriata","Animals","Chordates","Cartilaginous Fishes","Skates and Guitarfishes","Guitarfishes","","Thornback Guitarfish","Fish",48401,"Platyrhinoidis triseriata","species","Animalia","Chordata","Chondrichthyes","Rajiformes","Rhinobatidae","Platyrhinoidis","Platyrhinoidis triseriata",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA
"1","2","20978","20979","21359","64747","64970","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus boreas","Animals","Chordates","Amphibians","Frogs and Toads","True Toads","North American Toads","Western Toad","Herp",196979,"Anaxyrus boreas halophilus","subspecies","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus boreas",19,4,0,1,2,13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,12,"Bufo boreas","Present","",64970
"1","2","20978","20979","21359","64747","64971","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus californicus","Animals","Chordates","Amphibians","Frogs and Toads","True Toads","North American Toads","Arroyo Toad","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anaxyrus californicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bufo californicus","Probably Present","",64971
"1","2","20978","20979","23540","24253","120719","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris hypochondriaca","Animals","Chordates","Amphibians","Frogs and Toads","Tree Frogs and Allies","Chorus Frogs","Baja California Treefrog","Herp",120719,"Pseudacris hypochondriaca","species","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris hypochondriaca",76,38,1,7,4,13,8,5,6,3,11,10,3,5,0,0,0,0,2,1,2,7,6,45,13,NA,NA,NA,NA
"1","2","20978","20979","23540","24253","24254","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris cadaverina","Animals","Chordates","Amphibians","Frogs and Toads","Tree Frogs and Allies","Chorus Frogs","California Treefrog","Herp",24254,"Pseudacris cadaverina","species","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris cadaverina",13,9,0,0,2,5,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,2,0,6,4,"Hyla cadaverina","Present","",24254
"1","2","20978","20979","23540","24253","24259","Animalia","Chordata","Amphibia","Anura","Hylidae","Pseudacris","Pseudacris regilla","Animals","Chordates","Amphibians","Frogs and Toads","Tree Frogs and Allies","Chorus Frogs","Northern Pacific Treefrog","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudacris regilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hyla regilla","Present","",24259
"1","2","20978","20979","25473","25474","25545","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana aurora","Animals","Chordates","Amphibians","Frogs and Toads","True Frogs","Pond Frogs","Northern Red-legged Frog","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana aurora",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana aurora","Present","",25545
"1","2","20978","20979","25473","25474","67016","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana draytonii","Animals","Chordates","Amphibians","Frogs and Toads","True Frogs","Pond Frogs","California Red-legged Frog","Herp",67016,"Rana draytonii","species","Animalia","Chordata","Amphibia","Anura","Ranidae","Rana","Rana draytonii",3,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,NA,NA,NA,NA
"1","2","20978","20979","25473","60340","65979","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus","Animals","Chordates","Amphibians","Frogs and Toads","True Frogs","American Water Frogs","American Bullfrog","Herp",65979,"Lithobates catesbeianus","species","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates catesbeianus",25,13,0,1,4,1,7,5,4,3,0,0,0,0,0,1,0,0,1,1,3,6,5,3,5,"Rana catesbeiana","Present","",65979
"1","2","20978","20979","25473","60340","66003","Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates","Lithobates pipiens","Animals","Chordates","Amphibians","Frogs and Toads","True Frogs","American Water Frogs","Northern Leopard Frog","Herp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lithobates pipiens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rana pipiens","Present","",66003
