"scientificFamily","commonFamily"
"Struthionidae","ostrich"
"Rheidae","rheas"
"Tinamidae","tinamous"
"Casuariidae","cassowaries"
"Dromaiidae","emu"
"Apterygidae","kiwis"
"Anhimidae","screamers"
"Anseranatidae","magpie-goose"
"Anatidae","ducks, geese, and swans"
"Megapodidae","megapodes"
"Cracidae","chachalacas, curassows, and guans"
"Odontophoridae","New World quail"
"Numididae","guineafowl"
"Phasianidae","pheasants and relatives"
"Podicipedidae","grebes"
"Phoenicopteridae","flamingos"
"Columbidae","pigeons and doves"
"Pteroclididae","sandgrouse"
"Mesitornithidae","mesites"
"Steatornithidae","oilbird"
"Podargidae","frogmouths"
"Nyctibiidae","potoos"
"Caprimulgidae","nightjars"
"Aegothelidae","owlet-nightjars"
"Trochilidae","hummingbirds"
"Apodidae","swifts"
"Hemiprocnidae","treeswifts"
"Cuculidae","cuckoos and relatives"
"Musophagidae","turacos and relatives"
"Otididae","bustards"
"Opisthocomidae","hoatzin"
"Gruidae","cranes"
"Aramidae","limpkin"
"Psophiidae","trumpeters"
"Rallidae","rails and relatives"
"Sarothruridae flufftails",NA
"Heliornithidae","finfoots"
"Scolopacidae","sandpipers and relatives"
"Rostratulidae","painted snipes"
"Pluvianidae","Egyptian plover"
"Jacanidae","jacanas"
"Thinocoridae","seedsnipes"
"Pedionomidae","plains-wanderer"
"Turnicidae","buttonquail"
"Laridae","gulls"
"Rhynchopidae","skimmers"
"Sternidae","terns"
"Alcidae","auks and puffins"
"Stercorariidae","skuas and jaegers"
"Glareolidae","coursers and pratincoles"
"Crab plover|Dromadidae","crab-plover"
"Burhinidae","thick-knees and relatives"
"Chionididae","sheathbills"
"Pluvianellidae","Magellanic plover"
"Ibidorhynchidae","ibisbill"
"Recurvirostridae","avocets and stilts"
"Haematopodidae","oystercatchers"
"Charadriidae","plovers and lapwings"
"Rhynochetidae","kagu"
"Eurypygidae","sunbittern"
"Phaethontidae","tropicbirds"
"Gaviidae","loons"
"Spheniscidae","penguins"
"Diomedeidae","albatrosses"
"Procellariidae","petrels and relatives"
"Pelecanoididae","diving petrels"
"Hydrobatidae","storm petrels"
"Ciconiidae","storks"
"Balaenicipitidae","shoebill"
"Scopidae","hamerkop"
"Pelecanidae","pelicans"
"Ardeidae","herons and relatives"
"Threskiornithidae","ibises and spoonbills"
"Phalacrocoracidae","cormorants and shags"
"Fregatidae","frigatebirds"
"Sulidae","booby|boobies and gannets"
"Anhingidae","darters"
"Cathartidae","New World vultures"
"Pandionidae","osprey"
"Accipitridae","hawks, eagles, buzzards, harriers, kites and Old World vultures"
"Sagittaridae","secretarybird"
"Tytonidae","barn owls"
"Strigidae","true owls"
"Coliidae","mousebirds"
"Trogonidae","trogons and quetzals"
"Meropidae","bee-eaters"
"Coraciidae","rollers"
"Brachypteraciidae","ground rollers"
"Todidae","todies"
"Momotidae","motmots"
"Alcedinidae","river kingfishers"
"Halcyonidae","tree kingfishers"
"Cerylidae","water kingfishers"
"Bucerotidae","hornbills"
"Upupidae","hoopoe"
"Phoeniculidae","woodhoopoes"
"Leptosomatidae","cuckoo-roller"
"Galbulidae","jacamars"
"Bucconidae","puffbirds"
"Lybiidae","African barbets"
"Megalaimidae","Asian barbets"
"Ramphastidae","toucans"
"Semnornithidae","toucan barbets"
"Capitonidae","American barbets"
"Picidae","woodpeckers"
"Indicatoridae","honeyguides"
"Cariamidae","seriemas"
"Falconidae","falcons and relatives"
"Nestoridae","kea and kakas"
"Strigopidae","kakapo"
"Cacatuidae","cockatoos"
"Psittacidae","African and American parrots"
"Psittrichasiidae","Pesquet's parrot, vasa parrots"
"Psittaculidae","Australasian parrots"
"Acanthisittidae","New Zealand wrens"
"Eurylaimidae","broadbills"
"Philepittidae","asities"
"Pittidae","pittas"
"Sapayoidae","sapayoa"
"Tyrannidae","tyrant flycatchers"
"Tityridae","becards and tityras"
"Furnariidae","ovenbirds"
"Thamnophilidae","antbirds"
"Formicariidae","ground antbirds"
"Rhinocryptidae","tapaculos"
"Antpitta|Grallariidae","antpittas"
"Conopophagidae","gnateaters"
"Cotingidae","cotingas"
"Pipridae","manakins"
"Melanopareiidae","crescent-chests"
"Atrichornithidae","scrub-birds"
"Menuridae","lyrebirds"
"Alaudidae","larks"
"Hirundinidae","swallows and martins"
"Motacillidae","wagtails and pipits"
"Campephagidae","cuckoo-shrikes"
"Eupetidae","rail-babbler"
"Pycnonotidae","bulbuls"
"Regulidae","kinglets"
"Hyliota|Hyliotidae","hyliotas"
"Chloropseidae","leafbirds"
"Aegithinidae","ioras"
"Ptiliogonatidae","silky-flycatchers"
"Bombycillidae","waxwings"
"Hypocoliidae","hypocolius"
"Dulidae","palmchat"
"Cinclidae","dippers"
"Troglodytidae","wrens"
"Donacobiidae","donacobius"
"Mimidae","mockingbirds and thrashers"
"Prunellidae","accentors"
