csv,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Antilocapridae,95067,180717,Active,Antilocapra americana,"pronghorn, Pronghorn",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,607191,,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Bovidae,95065,180715,Active,Capra hircus,"domestic goat, Goat, goat (feral)",,Accepted,No,Approved,Not In Park,Historical,Non-native,,,,,,,,1332564,,,,,GNA,CA: SNA
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Cervidae,264828,552474,Active,Axis axis,"axis deer, chital, Chital",Axis axis axis,Accepted,No,Approved,Present,,Non-native,,Common,Management Priority; Breeder,,,"32324, 558053",,,,,,,G4,
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Cervidae,671613,-744879,Inactive,Cervus elaphus nannodes,"valley elk, dwarf elk, tule elk","Cervus elaphus, Cervus elaphis nannodes",Accepted,No,Approved,Present,,Native,,Common,"Exploitation Concern, Management Priority; Resident",,,"131515, 548479, 558053",,,,,,,G5T3,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Cervidae,264824,552472,Active,Dama dama,"fallow deer, Fallow Deer",Dama dama dama,Accepted,No,Approved,Present,,Non-native,,Abundant,Management Priority; Breeder,,,"32324, 548479, 558053",,,,,,,G5,
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Cervidae,152567,-501743,Inactive,Odocoileus hemionus columbianus,Columbian black-tailed deer,"Odocoileus hemionus columbiana, Odocoileus hemionus",Accepted,No,Approved,Present,,Native,,Common,"Exploitation Concern, Management Priority; Breeder",,,"143341, 38713, 548479, 558053",,,,,,,,
PORE,Point Reyes National Seashore,Mammal,1,Artiodactyla,Suidae,95073,180722,Active,Sus scrofa,"pig, pig (feral), wild boar, Wild Boar",,Accepted,No,Approved,Not In Park,Historical,Non-native,,,,,,,,1332565,,,,,G5,
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Breeder,,,"143341, 548479",,,,SC,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,"Common Gray Fox, Gray Fox",Urocyon cinereoargenteus townsendi,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"548479, 80870",,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Present,,Non-native,,Rare,,,,"143341, 548479",,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Felidae,93329,180589,Active,Felis silvestris,"wild cat, Wildcat",,Accepted,No,Approved,Present,,Non-native,,Uncommon,,,,,606253,,,,,,,
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Felidae,93322,180582,Active,Lynx rufus,Bobcat,Lynx rufus californicus,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"18178, 548479, 558053",,,,RT,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,"Cougar, mountain lion, Puma","Felis concolor californicus, Felis concolor",Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,"548479, 558053, 80720",,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,Mephitis mephitis occidentalis,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"143341, 548479, 558053",,1468529,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,"Eastern Spotted Skunk, spotted skunk",Spilogale gracilis phenax,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,"143341, 548479, 558053",,,,,,,G4,
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mustelidae,107235,202390,Active,Enhydra lutris nereis,southern sea otter,Enhydra lutris,Accepted,No,Approved,Present,,Native,,Rare,Management Priority,,,"12203, 558053, 602188, 602239",607759,"1330024, 1330025, 1330026, 1330027, 1332383",,T,,,G4T2,CA: S2
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mustelidae,93311,180572,Active,Lutra canadensis,river otter,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority,,,,606250,,,,,,,
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mustelidae,93292,180555,Active,Mustela erminea,Ermine,Mustela erminea streatori,Accepted,No,Approved,Present,,Native,,Rare,Resident,,,558053,,"1468527, 1468528",,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,Mustela frenata munda,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"143341, 548479, 558053",,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mustelidae,93290,180553,Active,Mustela vison,"American mink, mink",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,1332384,,,,,,
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,"American Badger, badger",Taxidea taxus neglecta,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Breeder,,,"143341, 548479, 558053",,,,SC,,,G5,CA: S4
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Otariidae,93382,180636,Active,Arctocephalus townsendi,Guadalupe Fur Seal,,Accepted,No,Approved,Present,,Native,,Occasional,Management Priority; Vagrant,,,,609762,1332562,,T,CA: ST,,G1,CA: S1
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Otariidae,93372,180627,Active,Callorhinus ursinus,Northern Fur Seal,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Migratory,,,"102119, 127636, 602188, 602239",,1332561,,,,,G3,CA: S1
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Otariidae,93370,180625,Active,Eumetopias jubatus,"northern sea lion, Steller Sea Lion, steller sealion, Steller's sea lion",,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Resident,,,"102119, 127636, 389080, 602188, 602239",,1332560,,DM,,,G3,CA: S2
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Otariidae,93366,180621,Active,Zalophus californianus,"California sea lion, California Sealion",,Accepted,No,Approved,Present,,Native,,Abundant,Management Priority; Resident,,,"102119, 127636, 585303, 602188, 602239",,1332559,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Phocidae,95017,180672,Active,Mirounga angustirostris,"Northern Elephant Seal, northern sea elephant",,Accepted,No,Approved,Present,,Native,,Abundant,Management Priority; Breeder,,,"102119, 389080, 602188, 602239, 607268, 85301",,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Phocidae,409203,622092,Active,Phoca vitulina richardii,,Phoca vitulina,Accepted,No,Approved,Present,,Native,,Abundant,Management Priority; Breeder,,,"102119, 143346, 389073, 389080, 558053, 585303, 602188, 602239",,"1332563, 1468296",,,,,G5T5Q,
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,Bassariscus astutus raptor,Accepted,No,Approved,Present,,Native,,Unknown,,,,558053,"606251, 606252",,,SC,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,"common raccoon, northern raccoon, Raccoon",Procyon lotor psora,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"143341, 548479, 558053",,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Ursidae,93280,180544,Active,Ursus americanus,"American Black Bear, black bear",,Accepted,No,Approved,Present,,Native,,Unknown,Migratory,,,,606249,,,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Carnivora,Ursidae,93279,180543,Active,Ursus arctos,"Brown Bear, Grizzly Bear",,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,,,,,,G4,CA: SX
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Balaenopteridae,92600,180524,Active,Balaenoptera acutorostrata,"Common Minke Whale, Minke Whale, northern minke whale",,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Resident,,,"602188, 602239, 62522","606241, 606242","1332377, 1332378",,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Balaenopteridae,92602,180526,Active,Balaenoptera borealis,Sei Whale,,Accepted,No,Approved,Probably Present,,Native,,,,,,"602188, 602239",,,,E,,,G3,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Balaenopteridae,92604,180528,Active,Balaenoptera musculus,Blue Whale,,Accepted,No,Approved,Present,,Native,,Rare,Management Priority; Resident,,,"16612, 602239","606245, 606246",1332379,,E,,,G3G4,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Balaenopteridae,92603,180527,Active,Balaenoptera physalus,"Fin Whale, finback whale",,Accepted,No,Approved,Present,,Native,,Rare,Migratory,,,602239,"606243, 606244",,,E,,,G3G4,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Balaenopteridae,92607,180530,Active,Megaptera novaeangliae,Humpback Whale,,Accepted,No,Approved,Present,,Native,,Uncommon,Management Priority; Resident,,,"21237, 389070, 585303, 602188, 602239","606247, 606248","1332380, 1332381, 1332382",,RT,,,G4,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,267640,555654,Active,Delphinus capensis,long-beaked common dolphin,,Accepted,No,Approved,Probably Present,,Native,,,,,,602188,,"1468262, 1468263, 1468264",,,,,G4G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,92504,180438,Active,Delphinus delphis,"common dolphin, saddle-backed dolphin, Short-beaked Common Dolphin, Short-beaked Saddleback Dolphin, short-beaked saddle-backed dolphin",Delphinus delphis delphis,Accepted,No,Approved,Probably Present,,Native,,,,,,"102119, 558053, 602239",,"1013686, 1332164, 1332165, 1332166, 1332167",,,,,G5,
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,92525,180457,Active,Grampus griseus,"grampus, Risso's Dolphin",,Accepted,No,Approved,Present,,Native,,Uncommon,Resident,,,"602188, 602239, 75887",,1332340,,,,,G5,
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,92511,180444,Active,Lagenorhynchus obliquidens,Pacific White-sided Dolphin,,Accepted,No,Approved,Present,,Native,,Uncommon,Resident,,,"102119, 602188, 602239, 75887",,"1332168, 1332169, 1332170, 1332171, 1332172, 1332173",,,,,G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,92522,180454,Active,Lissodelphis borealis,Northern Right Whale Dolphin,,Accepted,No,Approved,Present,,Native,,Rare,Vagrant,,,"602188, 602239, 75887",,"1332174, 1332339",,,,,G4,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,92538,180469,Active,Orcinus orca,"Killer Whale, orca",,Accepted,No,Approved,Present,,Native,,Rare,Vagrant,,,"602188, 602239, 75887","605972, 605973, 605974, 605975","1332341, 1332342",,,,,G4G5,CA: SNR
PORE,Point Reyes National Seashore,Mammal,1,Cetacea,Delphinidae,92532,180463,Active,Pseudorca crassidens,False Killer Whale,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,,,,,,,G4,
