Park Code,Park Name,Category,Category Sort,Order,Family,Taxon Code,TSN,Taxon Record Status,Scientific Name,Common Names,Synonyms,Park Accepted,Sens?,Record Status,Occurrence,Occurrence Tags,Nativeness,Nativeness Tags,Abundance,NPS Tags,Park Tags,Internal Park Tags,References,Observations,Vouchers,ExternalLinks,T&E,State Status,Ozone,GRank,SRank
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Artiodactyla,Cervidae,95045,180698,Active,Odocoileus hemionus,Mule Deer,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,140431,,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Canidae,93340,180599,Active,Canis latrans,Coyote,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,"1182347, 1473989",,SC,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Canidae,93352,180609,Active,Urocyon cinereoargenteus,Gray Fox,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,1177101,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Canidae,93347,180604,Active,Vulpes vulpes,Red Fox,,Accepted,No,Approved,Present,,Non-native,,Unknown,,,,,,1180697,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Felidae,115336,203547,Active,Felis rufus,Bobcat,Lynx rufus,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,"1178802, 1466842",,,,,,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Felidae,260571,552479,Active,Puma concolor,Mountain Lion,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,,,1181832,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mephitidae,93300,180562,Active,Mephitis mephitis,Striped Skunk,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,1179912,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mephitidae,93309,180570,Active,Spilogale putorius,Spotted Skunk,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,,,1174991,,,,,G4,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mustelidae,93293,180556,Active,Mustela frenata,Long-tailed Weasel,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,1178801,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Mustelidae,93303,180565,Active,Taxidea taxus,Badger,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,,,"1473988, 1475000",,SC,,,G5,CA: S4
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Procyonidae,93316,180577,Active,Bassariscus astutus,Ringtail,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,1473666,,SC,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Carnivora,Procyonidae,93314,180575,Active,Procyon lotor,Raccoon,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,1176390,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Molossidae,89602,180080,Active,Eumops perotis,Western Mastiff Bat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,,,,,,G4,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Molossidae,89607,180085,Active,Nyctinomops femorosaccus,Pocketed Free-tailed Bat,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G4,CA: S2S3
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Molossidae,89610,180088,Active,Tadarida brasiliensis,Mexican Free-tailed Bat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,1177498,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Phyllostomidae,89592,180071,Active,Macrotus californicus,California Leaf-nosed Bat,,Accepted,No,Approved,Not In Park,Historical,Native,,,,,,,,,,SC,,,G3G4,CA: S3
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88728,180006,Active,Antrozous pallidus,Pallid Bat,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,,,SC,,,G4G5,CA: S3
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88730,180008,Active,Eptesicus fuscus,Big Brown Bat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,,,1177100,,SC,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88733,180010,Active,Euderma maculatum,Spotted Bat,,Accepted,No,Approved,Unconfirmed,,Native,,,,,,,,,,SC,,,G4,CA: S2S3
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88737,180014,Active,Lasionycteris noctivagans,Silver-haired Bat,,Accepted,No,Approved,Present,,Native,,Occasional,Breeder,,,,,,,SC,,,G4,CA: S3S4
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88739,180016,Active,Lasiurus borealis,Red Bat,,Accepted,No,Approved,Present,,Native,,Occasional,Breeder,,,,,,,,,,G4,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88740,180017,Active,Lasiurus cinereus,Hoary Bat,,Accepted,No,Approved,Present,,Native,,Rare,Breeder,,,,,1474544,,SU,,,G4,CA: S4?
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88710,179991,Active,Myotis californicus,California Myotis,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,1473663,,SC,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88714,179995,Active,Myotis evotis,Long-eared Myotis,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G4G5,CA: S4?
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88718,179999,Active,Myotis leibii,Small-footed Myotis,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,"RT,SC",,,G3G4,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88724,180002,Active,Myotis thysanodes,Fringed Myotis,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G4,CA: S4
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88709,179990,Active,Myotis volans,Long-legged Myotis,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,G4G5,CA: S4?
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88726,180004,Active,Myotis yumanensis,Yuma Myotis,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,1179623,,SC,,,G4G5,CA: S4?
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,88748,180024,Active,Pipistrellus hesperus,Western Pipistrelle,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,,,SC,,,,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Chiroptera,Vespertilionidae,106783,202345,Active,Plecotus townsendii townsendii,Townsend's big-eared bat,,Accepted,No,Approved,Probably Present,,Native,,,,,,,,,,SC,,,,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Didelphimorphia,Didelphidae,88114,179921,Active,Didelphis virginiana,Virginia Opossum,,Accepted,No,Approved,Present,,Non-native,,Common,Breeder,,,59257,,"1177141, 1179454",,,,,G5,CA: SNA
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89641,180115,Active,Lepus californicus,Black-tailed Jack Rabbit,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,,,,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89649,180122,Active,Sylvilagus audubonii,Desert Cottontail,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,59249,,1474069,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Lagomorpha,Leporidae,89650,180123,Active,Sylvilagus bachmani,Brush Rabbit,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,59257,,1473665,,SC,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91695,180305,Active,Microtus californicus,California Vole,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,59257,,1178800,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91770,180373,Active,Neotoma fuscipes,Dusky-footed Woodrat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"123287, 143012, 59249, 59257",,1177431,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91771,180374,Active,Neotoma lepida,Desert Woodrat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"143012, 59249, 59257",,1176863,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90750,180282,Active,Peromyscus boylii,Brush Mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,"123287, 143012, 59249, 59257",,1181350,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90751,180283,Active,Peromyscus californicus,California Mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,"123287, 143012, 59249, 59257",,"1176424, 1180696",,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90754,180286,Active,Peromyscus eremicus,Cactus Mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,,,1179962,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90743,180276,Active,Peromyscus maniculatus,Deer Mouse,,Accepted,No,Approved,Present,,Native,,Abundant,Breeder,,,"123287, 143012, 59257",,1182312,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,90760,180291,Active,Peromyscus truei,Pinon Mouse,,Accepted,No,Approved,Present,,Native,,Uncommon,Breeder,,,"143012, 59257",,1473452,,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Cricetidae,91737,180343,Active,Reithrodontomys megalotis,Western Harvest Mouse,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"143012, 59257",,"1179582, 1474494",,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Geomyidae,90684,180222,Active,Thomomys bottae,Botta's Pocket Gopher,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,59257,,"1175284, 1177320, 1473697",,,,,G5,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Heteromyidae,90696,180233,Active,Dipodomys agilis,Pacific Kangaroo Rat,,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"123287, 143012, 59257",,1179637,,,,,G3G4,CA: SNR
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Heteromyidae,90723,180258,Active,Perognathus californicus,California pocket mouse,Chaetodipus californicus,Accepted,No,Approved,Present,,Native,,Common,Breeder,,,"143012, 59249, 59257",,1473421,,,,,,
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Muridae,91762,180366,Active,Mus musculus,House Mouse,,Accepted,No,Approved,Present,,Non-native,,Common,Breeder,,,59257,,,,,,,G5,CA: SNA
SAMO,Santa Monica Mountains National Recreation Area,Mammal,1,Rodentia,Muridae,91759,180363,Active,Rattus norvegicus,Norway Rat,,Accepted,No,Approved,Present,,Non-native,,Unknown,Breeder,,,,,,,,,,G5,CA: SNA
